playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
Mewkyo,394,510,321,2178,46,8.565217391304348,11.08695652173913,6.978260869565218,47.34782608695652
Mezze,26,5,3,51,2,13.0,2.5,1.5,25.5
Miata,213,144,24,738,24,8.875,6.0,1.0,30.75
Midir,402,306,150,1406,64,6.28125,4.78125,2.34375,21.96875
Midnight,558,168,239,1200,41,13.609756097560975,4.097560975609756,5.829268292682927,29.26829268292683
Miella,13,7,0,29,2,6.5,3.5,0.0,14.5
Mietek,434,192,116,1039,44,9.863636363636363,4.363636363636363,2.6363636363636362,23.613636363636363
Mihai,664,386,180,1678,48,13.833333333333334,8.041666666666666,3.75,34.958333333333336
MihawK,357,501,322,2146,56,6.375,8.946428571428571,5.75,38.32142857142857
Mihile,833,355,282,2128,68,12.25,5.220588235294118,4.147058823529412,31.294117647058822
Mikano,121,50,24,262,10,12.1,5.0,2.4,26.2
Mikkel,55,50,11,172,11,5.0,4.545454545454546,1.0,15.636363636363637
Mikusik,82,120,75,488,11,7.454545454545454,10.909090909090908,6.818181818181818,44.36363636363637
Mikyx,4064,1012,1100,8136,64,63.5,15.8125,17.1875,127.125
Milan,39,39,10,125,3,13.0,13.0,3.3333333333333335,41.666666666666664
Mildorff,61,30,0,142,10,6.1,3.0,0.0,14.2
Milkshake,7,17,5,55,1,7.0,17.0,5.0,55.0
Mimic,182,100,45,446,14,13.0,7.142857142857143,3.2142857142857144,31.857142857142858
Mimosa,68,30,14,148,5,13.6,6.0,2.8,29.6
Miniduke,310,329,154,1210,35,8.857142857142858,9.4,4.4,34.57142857142857
Minji,515,230,237,1331,55,9.363636363636363,4.181818181818182,4.3090909090909095,24.2
Minous,845,215,238,1739,17,49.705882352941174,12.647058823529411,14.0,102.29411764705883
Minu,338,250,278,1288,35,9.657142857142857,7.142857142857143,7.942857142857143,36.8
Minui,1862,421,341,3807,35,53.2,12.028571428571428,9.742857142857142,108.77142857142857
Mio7,142,62,85,332,9,15.777777777777779,6.888888888888889,9.444444444444445,36.888888888888886
Mir,171,160,162,673,15,11.4,10.666666666666666,10.8,44.86666666666667
Miracle,547,137,89,1156,11,49.72727272727273,12.454545454545455,8.090909090909092,105.0909090909091
Mireu,397,351,193,1389,46,8.630434782608695,7.630434782608695,4.195652173913044,30.195652173913043
Mirrowfox,162,97,50,493,22,7.363636363636363,4.409090909090909,2.272727272727273,22.40909090909091
Mis,66,67,7,210,8,8.25,8.375,0.875,26.25
Misaki,22,8,4,60,2,11.0,4.0,2.0,30.0
Mishal,256,76,68,578,7,36.57142857142857,10.857142857142858,9.714285714285714,82.57142857142857
Mishi,506,475,185,1613,44,11.5,10.795454545454545,4.204545454545454,36.65909090909091
Mission,85,65,32,272,10,8.5,6.5,3.2,27.2
Mita,1230,314,337,2682,24,51.25,13.083333333333334,14.041666666666666,111.75
Mitir,10,11,6,45,2,5.0,5.5,3.0,22.5
Mixtsure,799,223,182,1755,17,47.0,13.117647058823529,10.705882352941176,103.23529411764706
Miyuuri,278,46,77,526,4,69.5,11.5,19.25,131.5
MnM,1707,349,452,3314,31,55.064516129032256,11.258064516129032,14.580645161290322,106.90322580645162
Mobility,553,402,116,1562,44,12.568181818181818,9.136363636363637,2.6363636363636362,35.5
Moham,2300,628,648,4641,39,58.97435897435897,16.102564102564102,16.615384615384617,119.0
Molanes,102,137,81,567,12,8.5,11.416666666666666,6.75,47.25
Momo,414,188,142,1119,44,9.409090909090908,4.2727272727272725,3.227272727272727,25.431818181818183
Momochi,2117,364,597,3724,30,70.56666666666666,12.133333333333333,19.9,124.13333333333334
Monki,993,1230,784,5147,110,9.027272727272727,11.181818181818182,7.127272727272727,46.79090909090909
Mood,417,90,95,906,12,34.75,7.5,7.916666666666667,75.5
Morfan,90,62,14,262,10,9.0,6.2,1.4,26.2
Morgan,944,617,582,2860,79,11.949367088607595,7.810126582278481,7.367088607594937,36.20253164556962
Morttheus,526,560,145,1781,41,12.829268292682928,13.658536585365853,3.5365853658536586,43.4390243902439
MrFreezed,166,99,18,412,22,7.545454545454546,4.5,0.8181818181818182,18.727272727272727
MrHB,186,167,18,539,20,9.3,8.35,0.9,26.95
MrJackson,61,75,66,319,9,6.777777777777778,8.333333333333334,7.333333333333333,35.44444444444444
MrPhant0m,256,200,59,756,26,9.846153846153847,7.6923076923076925,2.269230769230769,29.076923076923077
Mrozku,791,386,337,2083,71,11.140845070422536,5.436619718309859,4.746478873239437,29.338028169014084
Mun,612,132,166,1143,9,68.0,14.666666666666666,18.444444444444443,127.0
Munet,195,35,33,392,10,19.5,3.5,3.3,39.2
Music,314,362,252,1516,31,10.129032258064516,11.67741935483871,8.129032258064516,48.903225806451616
Mutton,23,33,23,128,4,5.75,8.25,5.75,32.0
Mxe,2871,651,938,5578,51,56.294117647058826,12.764705882352942,18.392156862745097,109.37254901960785
MyCash,292,115,73,720,25,11.68,4.6,2.92,28.8
Myrtus,1618,465,433,3370,29,55.793103448275865,16.03448275862069,14.931034482758621,116.20689655172414
Myrwn,977,587,344,2845,79,12.367088607594937,7.430379746835443,4.3544303797468356,36.0126582278481
Mysterias,7,3,0,17,1,7.0,3.0,0.0,17.0
Mystiques,816,150,185,1558,17,48.0,8.823529411764707,10.882352941176471,91.6470588235294
MélyaP,112,62,41,317,9,12.444444444444445,6.888888888888889,4.555555555555555,35.22222222222222
N3znamy,25,25,16,119,4,6.25,6.25,4.0,29.75
NBA,34,31,9,130,3,11.333333333333334,10.333333333333334,3.0,43.333333333333336
NCP Lchallenge,608,196,187,1389,12,50.666666666666664,16.333333333333332,15.583333333333334,115.75
NCP Nangning,192,81,103,450,12,16.0,6.75,8.583333333333334,37.5
NCP Sassappel,108,70,92,393,12,9.0,5.833333333333333,7.666666666666667,32.75
NCP saru,160,85,52,368,12,13.333333333333334,7.083333333333333,4.333333333333333,30.666666666666668
NF Albino Poro,97,21,15,200,3,32.333333333333336,7.0,5.0,66.66666666666667
NF Erika,25,5,7,46,3,8.333333333333334,1.6666666666666667,2.3333333333333335,15.333333333333334
NF Geraldes,4,5,1,17,1,4.0,5.0,1.0,17.0
NF LEVIATAN,27,10,6,63,3,9.0,3.3333333333333335,2.0,21.0
NF Oshii,33,8,4,79,4,8.25,2.0,1.0,19.75
NF Saibotbias,6,6,5,31,2,3.0,3.0,2.5,15.5
NF saibotbias,13,10,11,67,3,4.333333333333333,3.3333333333333335,3.6666666666666665,22.333333333333332
NGU Kairi1,127,38,32,273,2,63.5,19.0,16.0,136.5
NGU Kngo1,33,21,14,79,2,16.5,10.5,7.0,39.5
NGU PeterL,46,28,32,139,4,11.5,7.0,8.0,34.75
NGU Seebulabu1,225,57,72,471,4,56.25,14.25,18.0,117.75
NGU Slowz1,54,51,25,170,4,13.5,12.75,6.25,42.5
NGU Souma,81,22,38,171,4,20.25,5.5,9.5,42.75
NGU Warrior1,57,24,28,136,6,9.5,4.0,4.666666666666667,22.666666666666668
NGX Bey0nd,4,1,1,13,1,4.0,1.0,1.0,13.0
NGX Tricky,5,12,3,52,2,2.5,6.0,1.5,26.0
NOMA,274,121,73,670,26,10.538461538461538,4.653846153846154,2.8076923076923075,25.76923076923077
NSA Achael,30,8,6,56,4,7.5,2.0,1.5,14.0
NSA Bada,30,21,3,84,4,7.5,5.25,0.75,21.0
NSA Chien,48,16,15,80,4,12.0,4.0,3.75,20.0
NSA Namsi,150,39,55,326,4,37.5,9.75,13.75,81.5
NT Ripper1,23,4,4,50,2,11.5,2.0,2.0,25.0
Naak Nako,465,200,229,1166,37,12.567567567567568,5.405405405405405,6.1891891891891895,31.513513513513512
Nacho,16,12,16,71,2,8.0,6.0,8.0,35.5
Nade,609,135,174,1330,13,46.84615384615385,10.384615384615385,13.384615384615385,102.3076923076923
Nafkelah,720,295,266,1607,54,13.333333333333334,5.462962962962963,4.925925925925926,29.75925925925926
NaiNa,248,125,70,600,22,11.272727272727273,5.681818181818182,3.1818181818181817,27.272727272727273
Nainess,16,20,12,74,2,8.0,10.0,6.0,37.0
Naitz,294,168,73,680,22,13.363636363636363,7.636363636363637,3.3181818181818183,30.90909090909091
Namgung,6282,1509,1730,11657,95,66.12631578947368,15.884210526315789,18.210526315789473,122.70526315789473
Namsi,2232,597,758,4460,41,54.4390243902439,14.560975609756097,18.48780487804878,108.78048780487805
Nan0,801,379,351,2064,64,12.515625,5.921875,5.484375,32.25
Nanaue,547,209,160,1214,40,13.675,5.225,4.0,30.35
Nanchuco,229,176,5,576,30,7.633333333333334,5.866666666666666,0.16666666666666666,19.2
Nannini,140,80,10,343,13,10.76923076923077,6.153846153846154,0.7692307692307693,26.384615384615383
Naros,23,10,6,50,2,11.5,5.0,3.0,25.0
Narttaker,68,19,15,152,7,9.714285714285714,2.7142857142857144,2.142857142857143,21.714285714285715
Nary,216,54,2,424,19,11.368421052631579,2.8421052631578947,0.10526315789473684,22.31578947368421
Nash,2415,552,518,4773,41,58.90243902439025,13.463414634146341,12.634146341463415,116.41463414634147
Nasser,99,113,86,485,12,8.25,9.416666666666666,7.166666666666667,40.416666666666664
Nasut,24,36,8,162,7,3.4285714285714284,5.142857142857143,1.1428571428571428,23.142857142857142
Nata,234,157,40,588,18,13.0,8.722222222222221,2.2222222222222223,32.666666666666664
NattyNatt,125,177,81,741,18,6.944444444444445,9.833333333333334,4.5,41.166666666666664
Naviah,546,193,200,1179,37,14.756756756756756,5.216216216216216,5.405405405405405,31.864864864864863
Nawa,377,282,100,1023,31,12.161290322580646,9.096774193548388,3.225806451612903,33.0
Nawaf,561,352,139,1440,50,11.22,7.04,2.78,28.8
Neadz,102,55,24,274,12,8.5,4.583333333333333,2.0,22.833333333333332
Necro,111,43,25,221,12,9.25,3.5833333333333335,2.0833333333333335,18.416666666666668
Nekro,7,15,3,52,2,3.5,7.5,1.5,26.0
Nemesis,528,647,120,2215,82,6.439024390243903,7.890243902439025,1.4634146341463414,27.01219512195122
Nenad,321,191,52,920,49,6.551020408163265,3.8979591836734695,1.0612244897959184,18.775510204081634
Neo,123,81,29,309,10,12.3,8.1,2.9,30.9
Neon,558,440,171,1575,49,11.387755102040817,8.979591836734693,3.489795918367347,32.142857142857146
Neramin,303,209,20,745,43,7.046511627906977,4.8604651162790695,0.46511627906976744,17.325581395348838
Nerion,487,310,422,1669,45,10.822222222222223,6.888888888888889,9.377777777777778,37.08888888888889
Nero,291,378,243,1525,32,9.09375,11.8125,7.59375,47.65625
Nestea,118,53,56,341,15,7.866666666666666,3.533333333333333,3.7333333333333334,22.733333333333334
Nesty,201,310,156,1172,37,5.4324324324324325,8.378378378378379,4.216216216216216,31.675675675675677
Netuno,447,335,86,1250,37,12.08108108108108,9.054054054054054,2.324324324324324,33.78378378378378
Nevid,670,301,229,1616,68,9.852941176470589,4.426470588235294,3.3676470588235294,23.764705882352942
Nia,68,49,39,216,8,8.5,6.125,4.875,27.0
Nice Guy Ben,472,166,58,1066,49,9.63265306122449,3.3877551020408165,1.183673469387755,21.755102040816325
NightSlayer,549,233,270,1546,61,9.0,3.819672131147541,4.426229508196721,25.34426229508197
Nightmares,146,24,27,294,3,48.666666666666664,8.0,9.0,98.0
Nightstar,31,27,1,82,4,7.75,6.75,0.25,20.5
Niket,2984,622,887,5532,46,64.8695652173913,13.521739130434783,19.282608695652176,120.26086956521739
Nikiyas,370,223,61,924,36,10.277777777777779,6.194444444444445,1.6944444444444444,25.666666666666668
Nikolex,228,264,162,1185,33,6.909090909090909,8.0,4.909090909090909,35.90909090909091
Nille,881,189,365,1655,54,16.314814814814813,3.5,6.7592592592592595,30.64814814814815
Ninefog,130,71,57,367,9,14.444444444444445,7.888888888888889,6.333333333333333,40.77777777777778
NinjaKiwi,373,394,104,1156,30,12.433333333333334,13.133333333333333,3.466666666666667,38.53333333333333
Ninji,60,15,1,97,7,8.571428571428571,2.142857142857143,0.14285714285714285,13.857142857142858
Nino,389,118,105,834,31,12.548387096774194,3.806451612903226,3.3870967741935485,26.903225806451612
Ninten,323,109,62,727,9,35.888888888888886,12.11111111111111,6.888888888888889,80.77777777777777
Nio,1694,401,399,3737,40,42.35,10.025,9.975,93.425
Niqkl,34,4,5,60,4,8.5,1.0,1.25,15.0
Nisqy,1320,291,388,2521,21,62.857142857142854,13.857142857142858,18.476190476190474,120.04761904761905
Nite,10,7,3,33,2,5.0,3.5,1.5,16.5
Nitz,160,67,73,358,12,13.333333333333334,5.583333333333333,6.083333333333333,29.833333333333332
NoDu,534,121,117,1106,13,41.07692307692308,9.307692307692308,9.0,85.07692307692308
NoName,464,449,368,2181,52,8.923076923076923,8.634615384615385,7.076923076923077,41.94230769230769
NoWay,493,144,154,1035,38,12.973684210526315,3.789473684210526,4.052631578947368,27.236842105263158
Noah,683,547,253,1936,49,13.938775510204081,11.16326530612245,5.163265306122449,39.51020408163265
Nobody,38,24,9,105,4,9.5,6.0,2.25,26.25
Nomi,124,91,3,321,13,9.538461538461538,7.0,0.23076923076923078,24.692307692307693
Noodle,503,260,299,1786,57,8.824561403508772,4.56140350877193,5.245614035087719,31.333333333333332
Norwegian,337,453,265,2008,56,6.017857142857143,8.089285714285714,4.732142857142857,35.857142857142854
Notiko,341,248,68,917,35,9.742857142857142,7.085714285714285,1.9428571428571428,26.2
Nottingham,180,53,45,388,5,36.0,10.6,9.0,77.6
Nova,683,150,152,1358,16,42.6875,9.375,9.5,84.875
NowFin,65,63,47,303,9,7.222222222222222,7.0,5.222222222222222,33.666666666666664
Noz2k,1031,769,263,2763,78,13.217948717948717,9.85897435897436,3.371794871794872,35.42307692307692
Nsurr,2613,790,594,5539,47,55.59574468085106,16.80851063829787,12.638297872340425,117.85106382978724
NuQ,728,279,316,1913,62,11.741935483870968,4.5,5.096774193548387,30.85483870967742
Nukez,848,183,205,1791,20,42.4,9.15,10.25,89.55
NvN,113,43,3,246,13,8.692307692307692,3.3076923076923075,0.23076923076923078,18.923076923076923
Nyx,367,349,255,1543,35,10.485714285714286,9.971428571428572,7.285714285714286,44.08571428571429
ODD Chomp,12,19,5,62,2,6.0,9.5,2.5,31.0
ODD Miracle2,108,22,20,211,2,54.0,11.0,10.0,105.5
ODD WhiteWolf,13,8,1,34,2,6.5,4.0,0.5,17.0
OMON,878,566,356,2487,77,11.402597402597403,7.35064935064935,4.623376623376624,32.298701298701296
ON,9115,2227,2824,17256,141,64.64539007092199,15.794326241134751,20.02836879432624,122.38297872340425
ONLY,684,375,46,1590,68,10.058823529411764,5.514705882352941,0.6764705882352942,23.38235294117647
OTS Creepano,8,8,1,19,1,8.0,8.0,1.0,19.0
OTS Silk2,6,2,3,20,1,6.0,2.0,3.0,20.0
OUAT kkero,164,28,47,331,3,54.666666666666664,9.333333333333334,15.666666666666666,110.33333333333333
OWLONSKY,215,179,177,801,18,11.944444444444445,9.944444444444445,9.833333333333334,44.5
Obstinatus,1774,523,489,3912,33,53.75757575757576,15.848484848484848,14.818181818181818,118.54545454545455
Oceann,139,50,24,304,10,13.9,5.0,2.4,30.4
Oda,16,31,12,106,2,8.0,15.5,6.0,53.0
OddEye,803,577,188,2150,66,12.166666666666666,8.742424242424242,2.8484848484848486,32.57575757575758
Oddielan,298,272,240,1292,29,10.275862068965518,9.379310344827585,8.275862068965518,44.55172413793103
Odessa,942,244,207,2094,22,42.81818181818182,11.090909090909092,9.409090909090908,95.18181818181819
Odi11,465,270,114,1153,53,8.773584905660377,5.09433962264151,2.150943396226415,21.754716981132077
Oguzkhan,50,62,39,294,8,6.25,7.75,4.875,36.75
OkerumoN,2146,553,678,4432,43,49.906976744186046,12.86046511627907,15.767441860465116,103.06976744186046
Oleg,365,294,300,1653,45,8.11111111111111,6.533333333333333,6.666666666666667,36.733333333333334
Oner,1216,1340,938,5733,117,10.393162393162394,11.452991452991453,8.017094017094017,49.0
Only35,2686,617,680,5193,44,61.04545454545455,14.022727272727273,15.454545454545455,118.02272727272727
Opeduy,221,77,61,520,21,10.523809523809524,3.6666666666666665,2.9047619047619047,24.761904761904763
Ophelia,184,104,65,465,14,13.142857142857142,7.428571428571429,4.642857142857143,33.214285714285715
Orca,2746,882,689,5955,55,49.92727272727273,16.036363636363635,12.527272727272727,108.27272727272727
OrthoZero,1196,141,286,2041,20,59.8,7.05,14.3,102.05
Osaki,2388,598,861,4843,51,46.8235294117647,11.72549019607843,16.88235294117647,94.96078431372548
Oscarinin,619,363,288,1805,64,9.671875,5.671875,4.5,28.203125
Osman123,606,519,567,2533,46,13.173913043478262,11.282608695652174,12.326086956521738,55.06521739130435
Ouzi,88,68,34,251,9,9.777777777777779,7.555555555555555,3.7777777777777777,27.88888888888889
OvO,790,149,287,1489,15,52.666666666666664,9.933333333333334,19.133333333333333,99.26666666666667
OverT1me,726,215,208,1535,18,40.333333333333336,11.944444444444445,11.555555555555555,85.27777777777777
Overpow,174,48,48,336,15,11.6,3.2,3.2,22.4
Own3r,215,149,153,867,26,8.26923076923077,5.730769230769231,5.884615384615385,33.34615384615385
Ozgur,87,55,22,229,7,12.428571428571429,7.857142857142857,3.142857142857143,32.714285714285715
P1ng,26,15,10,71,3,8.666666666666666,5.0,3.3333333333333335,23.666666666666668
P9,129,74,121,380,10,12.9,7.4,12.1,38.0
PAPU Lucas,26,6,3,48,4,6.5,1.5,0.75,12.0
PAPU Nithral,30,6,5,59,4,7.5,1.5,1.25,14.75
PAPU Papulon,68,10,19,118,2,34.0,5.0,9.5,59.0
PAPU Raviool,49,30,4,115,5,9.8,6.0,0.8,23.0
PAPU Xami,87,30,15,204,4,21.75,7.5,3.75,51.0
PAPU its me,12,3,3,21,1,12.0,3.0,3.0,21.0
PAPU moaixd,39,23,21,127,5,7.8,4.6,4.2,25.4
PCS OQ01,25,13,8,69,2,12.5,6.5,4.0,34.5
PCS OQ02,20,20,17,92,2,10.0,10.0,8.5,46.0
PCS OQ03,24,8,6,61,2,12.0,4.0,3.0,30.5
PCS OQ04,27,25,12,83,2,13.5,12.5,6.0,41.5
PCS OQ07,114,20,33,209,2,57.0,10.0,16.5,104.5
PCS OQ12,12,13,12,48,1,12.0,13.0,12.0,48.0
PCS OQ31,59,25,19,167,5,11.8,5.0,3.8,33.4
PCS OQ32,64,34,60,214,5,12.8,6.8,12.0,42.8
PCS OQ33,65,22,20,145,5,13.0,4.4,4.0,29.0
PCS OQ34,73,37,17,162,5,14.6,7.4,3.4,32.4
PCS OQ35,268,74,52,572,5,53.6,14.8,10.4,114.4
PCS OQ61,63,30,24,166,7,9.0,4.285714285714286,3.4285714285714284,23.714285714285715
PCS OQ63,79,40,22,211,7,11.285714285714286,5.714285714285714,3.142857142857143,30.142857142857142
PCS OQ65,363,107,96,777,7,51.857142857142854,15.285714285714286,13.714285714285714,111.0
PCS OQ67,40,66,22,250,7,5.714285714285714,9.428571428571429,3.142857142857143,35.714285714285715
PHT,25,6,8,43,2,12.5,3.0,4.0,21.5
PLS Aadam,9,13,6,42,2,4.5,6.5,3.0,21.0
PLS Tubs,76,22,9,160,2,38.0,11.0,4.5,80.0
PME Asykz,52,7,5,85,5,10.4,1.4,1.0,17.0
PME Calypse,204,42,58,422,5,40.8,8.4,11.6,84.4
PME Den,44,34,3,113,5,8.8,6.8,0.6,22.6
PME Zoro,56,12,7,99,5,11.2,2.4,1.4,19.8
PO8,125,50,48,289,11,11.363636363636363,4.545454545454546,4.363636363636363,26.272727272727273
PPS BMCB,21,12,2,53,2,10.5,6.0,1.0,26.5
PPS Lostboy,34,22,5,91,1,34.0,22.0,5.0,91.0
PPS Pasxalis,23,14,9,76,2,11.5,7.0,4.5,38.0
PPS SLynx,21,10,9,52,2,10.5,5.0,4.5,26.0
Pablerah,132,37,24,296,3,44.0,12.333333333333334,8.0,98.66666666666667
Pabu,276,259,242,1147,23,12.0,11.26086956521739,10.521739130434783,49.869565217391305
Padawii,203,94,58,453,16,12.6875,5.875,3.625,28.3125
Paduck,1337,933,376,3619,96,13.927083333333334,9.71875,3.9166666666666665,37.697916666666664
Pain5,421,230,147,1007,26,16.192307692307693,8.846153846153847,5.653846153846154,38.73076923076923
Painful,475,233,137,1170,40,11.875,5.825,3.425,29.25
Painter,717,643,639,3090,66,10.863636363636363,9.742424242424242,9.681818181818182,46.81818181818182
Paixdia,2524,525,792,4666,38,66.42105263157895,13.81578947368421,20.842105263157894,122.78947368421052
Paladin,52,32,11,129,6,8.666666666666666,5.333333333333333,1.8333333333333333,21.5
Palafox,737,329,307,1885,46,16.02173913043478,7.1521739130434785,6.673913043478261,40.97826086956522
Pallet,561,603,479,2734,63,8.904761904761905,9.571428571428571,7.603174603174603,43.3968253968254
Pancake,255,336,217,1361,25,10.2,13.44,8.68,54.44
Panda2,387,136,175,886,35,11.057142857142857,3.8857142857142857,5.0,25.314285714285713
Pangjin,389,345,51,1202,37,10.513513513513514,9.324324324324325,1.3783783783783783,32.486486486486484
Pankiu,38,25,15,90,3,12.666666666666666,8.333333333333334,5.0,30.0
Pann,578,116,152,1204,15,38.53333333333333,7.733333333333333,10.133333333333333,80.26666666666667
Panther,658,321,288,1866,72,9.13888888888889,4.458333333333333,4.0,25.916666666666668
Paolocannone,637,121,144,1210,11,57.90909090909091,11.0,13.090909090909092,110.0
Paparotis,211,75,36,470,17,12.411764705882353,4.411764705882353,2.1176470588235294,27.647058823529413
Papiteero,388,179,125,1106,43,9.023255813953488,4.162790697674419,2.9069767441860463,25.72093023255814
Paresz,74,140,54,512,14,5.285714285714286,10.0,3.857142857142857,36.57142857142857
Parlita,282,134,44,697,30,9.4,4.466666666666667,1.4666666666666666,23.233333333333334
Parukia,1172,230,303,2105,18,65.11111111111111,12.777777777777779,16.833333333333332,116.94444444444444
Parus,2880,698,767,5774,42,68.57142857142857,16.61904761904762,18.261904761904763,137.47619047619048
Pasha,89,22,20,184,2,44.5,11.0,10.0,92.0
Passzi,2390,451,742,4447,42,56.904761904761905,10.738095238095237,17.666666666666668,105.88095238095238
Pasu,12,13,11,59,2,6.0,6.5,5.5,29.5
Patch,4155,856,1336,7985,70,59.357142857142854,12.228571428571428,19.085714285714285,114.07142857142857
PatkicaA,425,201,171,1163,46,9.23913043478261,4.369565217391305,3.717391304347826,25.282608695652176
Patrik,394,268,101,1058,29,13.586206896551724,9.241379310344827,3.4827586206896552,36.48275862068966
PatxiPirata,406,168,197,1086,33,12.303030303030303,5.090909090909091,5.96969696969697,32.90909090909091
Pbd,99,20,14,187,2,49.5,10.0,7.0,93.5
Pcelica,166,59,16,338,21,7.904761904761905,2.8095238095238093,0.7619047619047619,16.095238095238095
Peach,121,123,96,566,10,12.1,12.3,9.6,56.6
Peaker,133,55,23,285,12,11.083333333333334,4.583333333333333,1.9166666666666667,23.75
Peanut,1213,1598,1030,6169,119,10.193277310924369,13.428571428571429,8.655462184873949,51.84033613445378
Peco,149,36,60,313,9,16.555555555555557,4.0,6.666666666666667,34.77777777777778
Pedrolo,123,55,41,293,11,11.181818181818182,5.0,3.727272727272727,26.636363636363637
Peng,207,123,105,611,18,11.5,6.833333333333333,5.833333333333333,33.94444444444444
PepiineroJr,193,127,51,557,21,9.19047619047619,6.0476190476190474,2.4285714285714284,26.523809523809526
Peppe,995,568,550,2847,76,13.092105263157896,7.473684210526316,7.2368421052631575,37.46052631578947
PerfecT,1306,472,696,3049,88,14.840909090909092,5.363636363636363,7.909090909090909,34.64772727272727
Pericolo,116,57,20,263,12,9.666666666666666,4.75,1.6666666666666667,21.916666666666668
Perkz,185,59,61,411,12,15.416666666666666,4.916666666666667,5.083333333333333,34.25
Perle,531,174,86,1176,40,13.275,4.35,2.15,29.4
Perry,76,121,51,465,10,7.6,12.1,5.1,46.5
Pesho,566,190,158,1252,62,9.129032258064516,3.064516129032258,2.5483870967741935,20.193548387096776
Peter,5507,1484,1641,11093,95,57.96842105263158,15.621052631578948,17.273684210526316,116.76842105263158
PeterL,20,14,16,76,2,10.0,7.0,8.0,38.0
Peto,3386,858,888,7046,66,51.303030303030305,13.0,13.454545454545455,106.75757575757575
Petoska,148,55,7,327,15,9.866666666666667,3.6666666666666665,0.4666666666666667,21.8
Peyz,1536,1342,496,4446,107,14.355140186915888,12.542056074766355,4.635514018691588,41.55140186915888
Phantasm,467,273,80,1319,55,8.49090909090909,4.963636363636364,1.4545454545454546,23.98181818181818
Philip,193,65,62,454,16,12.0625,4.0625,3.875,28.375
Phlloz,38,11,9,77,1,38.0,11.0,9.0,77.0
Phoenix,165,69,40,422,14,11.785714285714286,4.928571428571429,2.857142857142857,30.142857142857142
Photic,198,155,37,533,16,12.375,9.6875,2.3125,33.3125
Photon,417,353,141,1495,40,10.425,8.825,3.525,37.375
Phuc1,487,356,460,1772,37,13.162162162162161,9.621621621621621,12.432432432432432,47.891891891891895
PhyMini,362,151,98,851,28,12.928571428571429,5.392857142857143,3.5,30.392857142857142
Phyraxx,133,33,49,272,11,12.090909090909092,3.0,4.454545454545454,24.727272727272727
PicaPica,202,59,44,440,4,50.5,14.75,11.0,110.0
Piccolo,803,250,235,1754,16,50.1875,15.625,14.6875,109.625
Piero,4365,1014,976,8656,73,59.794520547945204,13.89041095890411,13.36986301369863,118.57534246575342
Pigeonx,672,212,172,1508,13,51.69230769230769,16.307692307692307,13.23076923076923,116.0
Pika1,323,254,102,863,32,10.09375,7.9375,3.1875,26.96875
PikaSensei,10,0,2,18,1,10.0,0.0,2.0,18.0
Pikii,106,55,19,289,16,6.625,3.4375,1.1875,18.0625
Piku,300,203,256,1164,27,11.11111111111111,7.518518518518518,9.481481481481481,43.111111111111114
Pilot,421,218,161,1115,32,13.15625,6.8125,5.03125,34.84375
Pinki,289,161,59,676,27,10.703703703703704,5.962962962962963,2.185185185185185,25.037037037037038
Pinkmin,1367,290,300,2690,26,52.57692307692308,11.153846153846153,11.538461538461538,103.46153846153847
Pipibaat,392,568,280,2325,50,7.84,11.36,5.6,46.5
PiskHello,161,112,38,401,14,11.5,8.0,2.7142857142857144,28.642857142857142
Pivolj,20,32,17,107,3,6.666666666666667,10.666666666666666,5.666666666666667,35.666666666666664
Piwek,42,36,20,116,4,10.5,9.0,5.0,29.0
Pleasure,3696,919,1074,7371,70,52.8,13.128571428571428,15.342857142857143,105.3
Pleata,6105,1429,1626,11384,88,69.375,16.238636363636363,18.477272727272727,129.36363636363637
Plox,246,162,45,638,30,8.2,5.4,1.5,21.266666666666666
PmK,303,93,104,634,26,11.653846153846153,3.576923076923077,4.0,24.384615384615383
Pobelter,506,230,132,1258,38,13.31578947368421,6.052631578947368,3.473684210526316,33.10526315789474
Poby,1316,662,546,3099,90,14.622222222222222,7.355555555555555,6.066666666666666,34.43333333333333
Pockus,1555,369,455,3011,26,59.80769230769231,14.192307692307692,17.5,115.8076923076923
Poipi,640,145,203,1319,16,40.0,9.0625,12.6875,82.4375
Pollu,5181,934,1482,9242,79,65.58227848101266,11.822784810126583,18.759493670886076,116.9873417721519
Polychiki,1495,363,254,3296,38,39.3421052631579,9.552631578947368,6.684210526315789,86.73684210526316
Pooya,82,34,9,173,6,13.666666666666666,5.666666666666667,1.5,28.833333333333332
Popon,211,170,200,857,19,11.105263157894736,8.947368421052632,10.526315789473685,45.10526315789474
Potent,669,232,208,1593,53,12.622641509433961,4.377358490566038,3.9245283018867925,30.056603773584907
Pout,224,118,147,682,20,11.2,5.9,7.35,34.1
Poweh,436,88,153,880,32,13.625,2.75,4.78125,27.5
PowerOfEvil,565,243,168,1334,44,12.840909090909092,5.5227272727272725,3.8181818181818183,30.318181818181817
Prachoun,65,5,18,114,6,10.833333333333334,0.8333333333333334,3.0,19.0
Praevius,29,8,6,69,3,9.666666666666666,2.6666666666666665,2.0,23.0
Prage,168,92,55,400,14,12.0,6.571428571428571,3.9285714285714284,28.571428571428573
