playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
Crownie,965,817,145,2637,81,11.91358024691358,10.08641975308642,1.7901234567901234,32.55555555555556
Cruse,82,25,27,184,7,11.714285714285714,3.5714285714285716,3.857142857142857,26.285714285714285
Cryogen,449,153,98,1020,8,56.125,19.125,12.25,127.5
Cryscata,144,56,46,327,3,48.0,18.666666666666668,15.333333333333334,109.0
Cube,1569,578,601,3767,116,13.525862068965518,4.982758620689655,5.181034482758621,32.474137931034484
Cuicuixi,470,492,81,1550,52,9.038461538461538,9.461538461538462,1.5576923076923077,29.807692307692307
Cuzz,913,1334,803,5079,90,10.144444444444444,14.822222222222223,8.922222222222222,56.43333333333333
Cyku,79,70,29,253,10,7.9,7.0,2.9,25.3
Cypher,274,207,104,758,18,15.222222222222221,11.5,5.777777777777778,42.111111111111114
Czajek,556,266,302,1324,37,15.027027027027026,7.1891891891891895,8.162162162162161,35.78378378378378
Czekolad,1210,550,459,3064,100,12.1,5.5,4.59,30.64
Czypsy,3726,843,903,7176,60,62.1,14.05,15.05,119.6
D0kai,59,12,8,122,2,29.5,6.0,4.0,61.0
D1verse,145,61,34,320,14,10.357142857142858,4.357142857142857,2.4285714285714284,22.857142857142858
D4SH,121,79,78,420,13,9.307692307692308,6.076923076923077,6.0,32.30769230769231
D4nKa,409,396,210,1851,50,8.18,7.92,4.2,37.02
D4rtaine,152,29,29,307,13,11.692307692307692,2.230769230769231,2.230769230769231,23.615384615384617
DANKI,32,17,8,107,4,8.0,4.25,2.0,26.75
DARKWINGS,604,391,271,1691,43,14.046511627906977,9.093023255813954,6.3023255813953485,39.325581395348834
DCT JDD,67,31,28,178,5,13.4,6.2,5.6,35.6
DD1,13,10,9,60,2,6.5,5.0,4.5,30.0
DDahyuk,570,254,273,1498,46,12.391304347826088,5.521739130434782,5.934782608695652,32.56521739130435
DDicent,38,48,12,187,5,7.6,9.6,2.4,37.4
DDoiV,1041,1158,954,4777,90,11.566666666666666,12.866666666666667,10.6,53.077777777777776
DG Etude,206,72,42,488,18,11.444444444444445,4.0,2.3333333333333335,27.11111111111111
DG W1ng,66,47,16,166,9,7.333333333333333,5.222222222222222,1.7777777777777777,18.444444444444443
DG Wing,56,47,16,181,10,5.6,4.7,1.6,18.1
DG applepasta,164,77,79,455,19,8.631578947368421,4.052631578947368,4.157894736842105,23.94736842105263
DG hatinyang,185,113,98,612,19,9.736842105263158,5.947368421052632,5.157894736842105,32.21052631578947
DG kumuo,203,101,49,478,18,11.277777777777779,5.611111111111111,2.7222222222222223,26.555555555555557
DG socceryakyu,107,95,101,485,18,5.944444444444445,5.277777777777778,5.611111111111111,26.944444444444443
DG suyahime,349,229,147,1077,37,9.432432432432432,6.1891891891891895,3.972972972972973,29.10810810810811
DG toraneko,1643,366,530,3218,37,44.4054054054054,9.891891891891891,14.324324324324325,86.97297297297297
DICE,561,366,289,1615,53,10.584905660377359,6.90566037735849,5.452830188679245,30.471698113207548
DIV Barata,6,23,4,65,1,6.0,23.0,4.0,65.0
DIV Chambel,52,15,14,114,1,52.0,15.0,14.0,114.0
DIV Leitinho,7,14,5,50,1,7.0,14.0,5.0,50.0
DIV MinetasJR,75,20,22,159,2,37.5,10.0,11.0,79.5
DIV Pro Hanter,20,16,0,59,2,10.0,8.0,0.0,29.5
DIV pdr,13,2,6,25,1,13.0,2.0,6.0,25.0
DIV spoint,36,7,6,76,2,18.0,3.5,3.0,38.0
DK Nevid,25,13,9,67,4,6.25,3.25,2.25,16.75
DK Seonwoo,39,11,13,72,4,9.75,2.75,3.25,18.0
DK Shadow,197,45,50,360,4,49.25,11.25,12.5,90.0
DM SUISEI,95,21,15,256,10,9.5,2.1,1.5,25.6
DM StarRanger,50,16,22,121,5,10.0,3.2,4.4,24.2
DM history,420,256,94,975,40,10.5,6.4,2.35,24.375
DM p1ng,271,86,61,621,27,10.037037037037036,3.185185185185185,2.259259259259259,23.0
DM ping,99,23,16,203,10,9.9,2.3,1.6,20.3
DM poshigi8,38,21,14,103,5,7.6,4.2,2.8,20.6
DNF Euphoria,57,51,20,173,5,11.4,10.2,4.0,34.6
DNTL,156,39,77,337,15,10.4,2.6,5.133333333333334,22.466666666666665
DOMOLES,68,75,9,264,12,5.666666666666667,6.25,0.75,22.0
DOOM,495,500,429,2130,40,12.375,12.5,10.725,53.25
DRX Lirua,342,65,127,613,5,68.4,13.0,25.4,122.6
DRX Nerion,59,40,45,221,5,11.8,8.0,9.0,44.2
DRX Sun eater,45,25,16,136,5,9.0,5.0,3.2,27.2
DRX XeRone,76,45,15,165,5,15.2,9.0,3.0,33.0
DS Pooya,21,13,3,44,2,10.5,6.5,1.5,22.0
DVLK,583,327,187,1732,69,8.44927536231884,4.739130434782608,2.710144927536232,25.10144927536232
Daemi,160,115,69,508,15,10.666666666666666,7.666666666666667,4.6,33.86666666666667
Dafnis,32,8,4,59,3,10.666666666666666,2.6666666666666665,1.3333333333333333,19.666666666666668
Daglas,780,693,543,3484,80,9.75,8.6625,6.7875,43.55
DahVys,456,493,354,2218,49,9.306122448979592,10.061224489795919,7.224489795918367,45.265306122448976
Daiky,135,173,115,776,15,9.0,11.533333333333333,7.666666666666667,51.733333333333334
Dajor,1208,638,481,3140,85,14.211764705882352,7.5058823529411764,5.658823529411765,36.94117647058823
Daksider,322,275,28,974,37,8.702702702702704,7.4324324324324325,0.7567567567567568,26.324324324324323
Damage,1614,434,492,3300,28,57.642857142857146,15.5,17.571428571428573,117.85714285714286
Damocles,535,379,122,1406,48,11.145833333333334,7.895833333333333,2.5416666666666665,29.291666666666668
Dan,486,349,177,1559,44,11.045454545454545,7.931818181818182,4.0227272727272725,35.43181818181818
Danden,38,49,24,248,10,3.8,4.9,2.4,24.8
Dandom,247,170,191,970,25,9.88,6.8,7.64,38.8
Dani,405,152,83,969,33,12.272727272727273,4.606060606060606,2.515151515151515,29.363636363636363
Danilo,138,35,10,286,16,8.625,2.1875,0.625,17.875
Dardoch,361,424,299,1820,40,9.025,10.6,7.475,45.5
DarkBlue,22,6,1,47,3,7.333333333333333,2.0,0.3333333333333333,15.666666666666666
Darkeszy,656,150,259,1346,57,11.508771929824562,2.6315789473684212,4.543859649122807,23.614035087719298
Darky,29,2,5,48,2,14.5,1.0,2.5,24.0
David,255,146,56,608,23,11.08695652173913,6.3478260869565215,2.4347826086956523,26.434782608695652
Davyyy,7,0,1,11,1,7.0,0.0,1.0,11.0
Dawciu,185,367,142,1311,32,5.78125,11.46875,4.4375,40.96875
Dawerko,177,48,40,375,6,29.5,8.0,6.666666666666667,62.5
Dawi,59,15,17,115,7,8.428571428571429,2.142857142857143,2.4285714285714284,16.428571428571427
Dawn,84,73,23,251,7,12.0,10.428571428571429,3.2857142857142856,35.857142857142854
Daystar,1267,744,643,3440,106,11.952830188679245,7.018867924528302,6.066037735849057,32.45283018867924
Deadhound,101,41,21,233,10,10.1,4.1,2.1,23.3
Deadly,560,528,140,1714,43,13.023255813953488,12.279069767441861,3.255813953488372,39.86046511627907
Dean,508,596,272,2676,73,6.958904109589041,8.164383561643836,3.7260273972602738,36.657534246575345
Deant9,374,275,29,951,44,8.5,6.25,0.6590909090909091,21.613636363636363
DeathArrow,24,13,1,50,2,12.0,6.5,0.5,25.0
Dec0y,291,95,40,578,25,11.64,3.8,1.6,23.12
Decay,822,377,341,2026,53,15.50943396226415,7.113207547169812,6.433962264150943,38.22641509433962
Deceiving,204,81,33,448,18,11.333333333333334,4.5,1.8333333333333333,24.88888888888889
Deceller,109,101,91,484,12,9.083333333333334,8.416666666666666,7.583333333333333,40.333333333333336
Deepe,126,31,60,284,8,15.75,3.875,7.5,35.5
Degh,62,21,7,129,5,12.4,4.2,1.4,25.8
Dehaste,106,60,29,306,9,11.777777777777779,6.666666666666667,3.2222222222222223,34.0
Deidara,302,134,90,744,24,12.583333333333334,5.583333333333333,3.75,31.0
Dejo,215,58,64,397,5,43.0,11.6,12.8,79.4
Dekap,4841,1096,1358,9561,84,57.63095238095238,13.047619047619047,16.166666666666668,113.82142857142857
Deletus,59,60,53,316,8,7.375,7.5,6.625,39.5
Delight,7089,1681,1931,13816,119,59.57142857142857,14.126050420168067,16.22689075630252,116.10084033613445
Deliverzz,52,72,34,342,8,6.5,9.0,4.25,42.75
Demoncior,57,21,12,93,6,9.5,3.5,2.0,15.5
