playername,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
Yike,3335.989247311828,3639.52688172043,69.26881720430107,3393.6236559139784,3691.8494623655915,71.43010752688173,-57.634408602150536,-52.32258064516129,-2.161290322580645,0.44086021505376344,0.5483870967741935,0.3333333333333333,0.43010752688172044,0.7526881720430108,0.20430107526881722,5082.5053763440865,5795.709677419355,104.19354838709677,5175.741935483871,5939.032258064516,108.24731182795699,-93.23655913978494,-143.32258064516128,-4.053763440860215,1.0,1.3225806451612903,0.7419354838709677,0.946236559139785,1.6236559139784945,0.5591397849462365,6917.204301075269,8258.150537634408,136.3978494623656,7045.387096774193,8520.10752688172,144.41935483870967,-128.18279569892474,-261.9569892473118,-8.021505376344086,1.4838709677419355,2.4623655913978495,1.2150537634408602,1.4193548387096775,2.5161290322580645,0.978494623655914,8616.12087912088,10584.494505494506,163.30769230769232,8685.054945054944,10721.0,172.57142857142858,-68.93406593406593,-136.5054945054945,-9.263736263736265,1.934065934065934,4.175824175824176,1.8131868131868132,1.8021978021978022,3.7142857142857144,1.4945054945054945
Yoangi,3418.076923076923,3427.153846153846,74.84615384615384,3349.6153846153848,3318.5384615384614,76.3076923076923,68.46153846153847,108.61538461538461,-1.4615384615384615,0.6923076923076923,0.7692307692307693,0.5384615384615384,0.46153846153846156,0.9230769230769231,0.46153846153846156,5498.0,5602.7692307692305,115.6923076923077,5368.076923076923,5742.538461538462,121.61538461538461,129.92307692307693,-139.76923076923077,-5.923076923076923,1.6923076923076923,1.3846153846153846,1.0769230769230769,1.0769230769230769,1.9230769230769231,1.1538461538461537,7636.384615384615,8166.2307692307695,161.23076923076923,7572.692307692308,8369.692307692309,172.53846153846155,63.69230769230769,-203.46153846153845,-11.307692307692308,2.5384615384615383,2.230769230769231,1.3076923076923077,1.8461538461538463,2.6923076923076925,1.7692307692307692,9977.846153846154,10990.076923076924,207.3846153846154,9700.153846153846,10599.23076923077,214.3846153846154,277.6923076923077,390.84615384615387,-7.0,3.3846153846153846,4.076923076923077,1.6923076923076923,2.769230769230769,3.4615384615384617,2.3076923076923075
Yohan,3407.1,3711.3,72.1,3495.0,3703.7,69.5,-87.9,7.6,2.6,0.5,0.3,0.4,0.8,0.8,0.1,5195.8,5937.3,108.7,5378.7,6160.4,109.4,-182.9,-223.1,-0.7,1.1,1.0,0.8,1.1,2.3,0.6,7075.6,8655.3,146.6,7288.4,8672.8,142.9,-212.8,-17.5,3.7,1.6,1.9,1.8,1.8,4.0,0.9,9160.1,10995.5,174.2,9158.0,11258.3,174.7,2.1,-262.8,-0.5,2.8,3.4,2.1,2.3,5.7,1.8
Yoshida,3465.4285714285716,3293.1428571428573,75.71428571428571,3708.4285714285716,3299.4285714285716,72.14285714285714,-243.0,-6.285714285714286,3.5714285714285716,0.7142857142857143,1.4285714285714286,1.4285714285714286,2.142857142857143,0.7142857142857143,1.1428571428571428,5395.571428571428,5277.142857142857,119.14285714285714,5756.428571428572,5479.571428571428,113.28571428571429,-360.85714285714283,-202.42857142857142,5.857142857142857,1.2857142857142858,3.0,2.4285714285714284,3.142857142857143,1.5714285714285714,2.0,7338.857142857143,7673.571428571428,155.57142857142858,8372.142857142857,8294.285714285714,153.14285714285714,-1033.2857142857142,-620.7142857142857,2.4285714285714284,1.7142857142857142,4.714285714285714,3.857142857142857,5.142857142857143,3.4285714285714284,2.857142857142857,10106.0,10423.42857142857,194.57142857142858,10596.142857142857,11243.714285714286,190.14285714285714,-490.14285714285717,-820.2857142857143,4.428571428571429,3.0,6.857142857142857,5.142857142857143,6.571428571428571,6.142857142857143,4.142857142857143
Young,3363.4444444444443,4621.666666666667,82.88888888888889,3570.4444444444443,4630.444444444444,85.88888888888889,-207.0,-8.777777777777779,-3.0,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.6666666666666666,0.4444444444444444,5234.333333333333,7455.333333333333,136.66666666666666,5772.111111111111,7618.333333333333,138.77777777777777,-537.7777777777778,-163.0,-2.111111111111111,0.4444444444444444,1.3333333333333333,0.8888888888888888,1.6666666666666667,2.0,0.7777777777777778,7519.555555555556,10280.888888888889,181.33333333333334,7848.888888888889,10354.0,181.0,-329.3333333333333,-73.11111111111111,0.3333333333333333,1.3333333333333333,3.0,1.1111111111111112,2.2222222222222223,3.111111111111111,1.5555555555555556,9682.555555555555,12788.111111111111,222.66666666666666,10079.666666666666,13153.333333333334,218.55555555555554,-397.1111111111111,-365.22222222222223,4.111111111111111,2.0,4.333333333333333,1.7777777777777777,3.6666666666666665,4.666666666666667,1.7777777777777777
YoungJae,3473.71875,3663.875,69.65625,3453.71875,3635.9270833333335,68.52083333333333,20.0,27.947916666666668,1.1354166666666667,0.8333333333333334,0.9375,0.4583333333333333,0.7708333333333334,0.7395833333333334,0.53125,5370.71875,6150.09375,109.15625,5289.125,5950.541666666667,105.94791666666667,81.59375,199.55208333333334,3.2083333333333335,1.5,1.8645833333333333,0.875,1.3125,1.5104166666666667,0.8958333333333334,7509.65625,9008.125,147.61458333333334,7203.75,8434.458333333334,139.85416666666666,305.90625,573.6666666666666,7.760416666666667,2.28125,3.5208333333333335,1.46875,1.90625,2.6979166666666665,1.5729166666666667,9558.840425531915,11744.212765957447,180.64893617021278,9029.91489361702,10745.372340425532,168.61702127659575,528.9255319148937,998.8404255319149,12.03191489361702,3.25531914893617,5.51063829787234,2.106382978723404,2.606382978723404,4.212765957446808,2.351063829787234
Yuanyue,3342.818181818182,4488.909090909091,73.36363636363636,3582.090909090909,4661.818181818182,83.0,-239.27272727272728,-172.9090909090909,-9.636363636363637,1.0,0.6363636363636364,0.7272727272727273,0.9090909090909091,0.45454545454545453,0.36363636363636365,5133.181818181818,7120.727272727273,117.0,5633.090909090909,7323.0,129.0,-499.90909090909093,-202.27272727272728,-12.0,1.4545454545454546,1.2727272727272727,1.2727272727272727,1.8181818181818181,0.9090909090909091,1.1818181818181819,7191.636363636364,10018.90909090909,160.1818181818182,7719.363636363636,10180.0,172.1818181818182,-527.7272727272727,-161.0909090909091,-12.0,2.0,3.090909090909091,1.7272727272727273,2.1818181818181817,1.5454545454545454,1.8181818181818181,9370.0,12977.7,197.7,9998.1,12965.4,213.1,-628.1,12.3,-15.4,2.9,5.0,2.5,3.7,2.5,2.5
Yuhi,3478.2075471698113,3542.3396226415093,81.62264150943396,3430.0377358490564,3442.6792452830186,78.47169811320755,48.16981132075472,99.66037735849056,3.150943396226415,0.6415094339622641,0.6981132075471698,0.4716981132075472,0.7735849056603774,0.6226415094339622,0.5094339622641509,5618.867924528302,6064.018867924528,133.58490566037736,5328.188679245283,5752.830188679245,128.20754716981133,290.6792452830189,311.188679245283,5.377358490566038,1.150943396226415,1.4528301886792452,0.7924528301886793,1.150943396226415,1.0943396226415094,0.8867924528301887,8051.075471698113,8930.77358490566,183.96226415094338,7489.66037735849,8277.88679245283,175.71698113207546,561.4150943396227,652.8867924528302,8.245283018867925,2.0377358490566038,2.8867924528301887,1.320754716981132,1.7924528301886793,2.188679245283019,1.5849056603773586,10365.066666666668,11723.955555555556,230.4,9914.955555555556,10906.288888888888,224.13333333333333,450.1111111111111,817.6666666666666,6.266666666666667,2.977777777777778,4.177777777777778,1.8,2.8,3.6444444444444444,1.9777777777777779
Yukin0,3286.25,3403.75,78.0,4171.25,3526.25,84.0,-885.0,-122.5,-6.0,0.25,0.25,1.25,2.5,1.25,0.25,4838.25,5216.5,115.0,6499.25,6292.25,131.25,-1661.0,-1075.75,-16.25,0.25,1.0,3.0,3.5,4.75,1.0,6969.75,7738.0,164.75,9440.75,9545.75,187.75,-2471.0,-1807.75,-23.0,1.0,1.25,4.0,4.5,7.25,1.0,9144.0,10202.666666666666,210.0,11407.666666666666,12517.333333333334,222.0,-2263.6666666666665,-2314.6666666666665,-12.0,1.3333333333333333,2.6666666666666665,4.666666666666667,5.333333333333333,9.333333333333334,1.3333333333333333
Yukina,2417.5,2224.75,15.0,2359.75,2145.5,12.75,57.75,79.25,2.25,0.0,2.75,0.25,0.0,1.5,1.0,3758.0,3505.25,20.75,3520.25,3430.25,23.25,237.75,75.0,-2.5,0.25,5.5,0.5,0.0,2.25,2.25,5309.0,5533.25,25.0,4895.0,5210.25,29.0,414.0,323.0,-4.0,0.75,9.0,1.5,0.5,4.0,3.5,6215.0,7228.666666666667,32.666666666666664,5956.666666666667,7263.666666666667,37.0,258.3333333333333,-35.0,-4.333333333333333,0.3333333333333333,7.666666666666667,2.0,0.3333333333333333,6.666666666666667,2.3333333333333335
