playername,score,kills,deaths,assists,damagetochampions
Kinatu,1885.35,269,125,418,1198350
Zephyr,1884.587,279,271,511,1094587
Decay,1880.273,216,128,324,1340273
Armut,1869.679,215,180,361,1293679
Fade,1867.3509999999999,285,172,326,1256351
Ruep,1864.779,260,112,306,1298779
Forest,1863.169,257,154,617,989169
Fornoreason,1862.593,221,217,281,1360593
TitaN,1859.498,245,123,281,1333498
Way,1850.558,106,319,1037,707558
BuLuKaKa,1842.247,234,166,385,1223247
Dean,1838.334,219,243,596,1023334
Afroboi,1838.128,287,221,495,1056128
Baumeef,1834.537,253,233,562,1019537
Reptile,1834.382,284,149,332,1218382
ZaZee,1830.066,214,170,339,1277066
Peter,1827.541,91,321,1100,636541
Frost,1821.741,204,210,553,1064741
Elyoya,1821.674,209,169,593,1019674
Recap,1820.659,231,106,510,1079659
BAO,1818.043,266,108,330,1222043
Gemini,1804.979,231,263,643,930979
Dzeffry,1804.768,218,205,329,1257768
Sayn,1803.099,241,112,334,1228099
LIMIT,1802.274,100,312,1045,657274
Shift,1801.672,288,226,489,1024672
Gori,1800.552,187,159,357,1256552
Prever,1799.17,300,245,440,1059170
Dotmm,1795.656,218,203,375,1202656
Whistle,1786.199,214,136,381,1191199
FlickeR,1784.212,309,84,315,1160212
Sav1or,1781.02,235,150,301,1245020
Inspired,1779.897,199,144,539,1041897
Rekkles,1773.657,76,88,1130,567657
Hinata,1772.351,230,177,386,1156351
Oscarinin,1771.56,160,182,399,1212560
Whip,1768.431,192,177,437,1139431
Weizhe,1767.191,234,215,350,1183191
Mihai,1764.554,223,116,355,1186554
Aomine,1764.442,274,74,344,1146442
Damocles,1763.164,275,126,244,1244164
Empyros,1760.174,170,196,283,1307174
Heroic,1757.423,273,166,293,1191423
Dekap,1755.241,96,220,1048,611241
Sylvie,1749.602,199,212,582,968602
Sencux,1745.738,228,111,335,1182738
Addusto,1742.748,202,184,281,1259748
Ellim,1739.463,235,235,504,1000463
Claww,1735.33,166,264,381,1188330
Razork,1732.838,183,176,555,994838
Guti,1725.499,213,144,372,1140499
Vizicsacsi,1723.492,221,176,334,1168492
Rhilech,1722.776,204,170,523,995776
Rayito,1721.257,206,130,310,1205257
Crem,1721.184,256,93,271,1194184
HeSSZero,1718.7,197,171,341,1180700
Solid,1713.459,254,251,557,902459
Typhoon,1711.762,263,186,557,891762
Zelt,1709.874,217,103,354,1138874
Loki,1705.267,229,116,329,1147267
Namgung,1701.629,63,368,955,683629
Sacre,1698.9470000000001,168,147,272,1258947
Trila,1696.16,190,236,645,861160
Yuhi,1691.847,259,124,357,1075847
Cuicuixi,1690.896,236,205,296,1158896
Noah,1687.189,223,109,229,1235189
PowerOfEvil,1684.993,219,104,268,1197993
shibi,1684.542,247,158,528,909542
Pallet,1681.061,210,211,620,851061
Vigil,1679.869,212,139,377,1090869
Theocacs,1673.074,150,279,573,950074
Zicssi,1672.334,155,224,472,1045334
Nawaf,1672.301,245,165,316,1111301
NightSlayer,1669.915,180,170,318,1171915
rakii,1663.711,239,113,320,1104711
Targamas,1662.174,59,296,996,607174
Gavotto,1656.974,237,93,338,1081974
Jwei,1656.416,59,407,997,600416
UNF0RGIVEN,1655.98,206,83,265,1184980
Noodle,1653.132,239,192,467,947132
xqw,1650.985,155,184,363,1132985
Pleata,1650.21,82,310,972,596210
Reaver,1647.491,71,316,1081,495491
Elramir,1645.952,179,173,644,822952
minemaciek,1640.093,80,308,944,616093
BeryL,1638.407,70,346,900,668407
Smurfe,1636.552,178,189,310,1148552
Saethra,1634.85,203,243,278,1153850
Innaxe,1634.654,225,106,260,1149654
SPOOKY,1633.917,191,159,575,867917
