playername,score,kills,deaths,assists,damagetochampions
Mimic,449.471,57,44,91,301471
Sorrow,449.267,57,34,71,321267
Arnax,448.789,56,53,89,303789
Mikkel,448.58799999999997,75,28,95,278588
Endless,447.472,60,43,85,302472
Marrow Ooze,447.463,57,53,101,289463
YYG hourosummer,447.43600000000004,76,42,103,268436
Zuhy,446.723,65,31,86,295723
Guigs,445.808,24,100,220,201808
VK Fantasyleaf,444.863,39,71,67,338863
HAWHAW,444.609,55,44,72,317609
FoobaR,444.255,38,112,143,263255
Kaba,443.096,64,58,66,313096
Thien,442.724,44,49,98,300724
Mario,442.531,56,60,150,236531
hybradge,442.318,49,97,147,246318
Sh1vq,442.176,39,90,206,197176
Ranorr,441.969,18,68,274,149969
VaSKED,440.429,17,111,238,185429
Joki37,440.112,55,72,126,259112
Lyg,440.091,67,45,85,288091
Samkz,439.414,81,43,112,246414
Husha,438.144,57,71,131,250144
Hidan,437.454,47,66,60,330454
Baut,436.52,9,66,269,158520
Woldjo,436.266,58,96,134,244266
ProDelta,434.802,20,130,235,179802
Lost,431.78999999999996,62,62,85,284790
Elijah,430.897,45,35,55,330897
Hyorai,430.444,18,98,231,181444
charlotte,429.917,52,36,98,279917
Urban,428.229,20,61,234,174229
Vares,427.589,46,44,82,299589
Loers,426.44,53,59,69,304440
NCP saru,425.151,54,45,75,296151
HNS Nakamoto,424.795,32,134,71,321795
Qubi,424.483,55,75,76,293483
Vodin,422.50399999999996,39,71,73,310504
DOMOLES,421.083,56,41,83,282083
Shimmer,419.889,59,64,125,235889
Hakari,418.839,44,51,84,290839
Soweto,416.85699999999997,45,60,119,252857
Violet,416.347,60,39,69,287347
Photic,415.372,35,51,48,332372
BOO Snow Panda,415.36,27,101,224,164360
Peaker,415.238,58,31,75,282238
JayJay,414.7,47,54,108,259700
RPG McGrath,414.634,36,137,145,233634
Sahl,413.466,16,91,250,147466
Fikus,413.42,42,96,79,292420
Kina,412.515,45,47,87,280515
Cyku,412.135,71,33,90,251135
Knighter,411.618,44,37,88,279618
Senmary,411.49399999999997,55,23,78,278494
K1ng,410.902,56,47,57,297902
skakavka,410.33799999999997,51,32,63,296338
Nannini,408.995,41,32,83,284995
Ophelia,408.384,34,50,56,318384
Leo D Aras,408.01300000000003,13,93,242,153013
Kodo,407.43,46,40,67,294430
Shakur,406.639,63,48,61,282639
Pericolo,405.81,55,34,86,264810
Icytower,404.702,57,30,60,287702
uroskg,404.401,61,118,111,232401
dyNquedo,403.27099999999996,41,39,81,281271
Kaido,403.16200000000003,53,61,131,219162
Joexy,402.772,13,116,228,161772
helforca,402.423,39,53,71,292423
Danilo,402.389,42,41,104,256389
MasuHana,400.766,59,45,83,258766
Petoska,400.232,41,59,49,310232
SniIIer,399.323,26,136,203,170323
rajed,398.906,40,69,57,301906
Ablazeolive,398.503,48,30,69,281503
Rayming,397.939,60,42,79,258939
Anthrax,397.541,18,87,222,157541
Hid0,397.186,59,18,79,259186
CK Saba,397.128,46,39,62,289128
V1per,397.01,77,32,73,247010
Ralf,396.651,49,35,81,266651
D1verse,396.017,39,66,58,299017
Slyv3r,394.692,59,19,104,231692
FS ChallenQ,394.432,78,25,43,273432
LightFall,393.901,38,38,71,284901
SwiT,393.227,35,64,104,254227
koisi,392.432,33,70,166,193432
Yuta,392.317,36,71,134,222317
BKD Eria,392.272,43,36,76,273272
XerRay,391.92,15,72,246,130920
AlluK,391.168,42,67,116,233168
Buero,390.96,68,54,66,256960
Bala,390.365,39,40,80,271365
Sprotte,389.37,43,51,63,283370
Perkz,389.343,51,35,60,278343
Zhayend,385.596,29,68,95,261596
Baki,384.745,47,42,78,259745
Banderas,383.193,36,60,74,273193
Loopy,382.744,13,150,196,173744
Aladoric,381.916,18,53,226,137916
Regi,381.649,46,62,90,245649
Leemas,380.178,34,45,52,294178
Lucy,379.793,39,39,54,286793
chips,379.769,52,24,65,262769
Ivok,378.937,36,80,54,288937
Sined,378.908,35,54,78,265908
chilioil,377.648,60,32,67,250648
Nisqy,375.929,22,103,200,153929
Fatihcan,374.997,38,49,136,200997
Apatheia,374.321,42,67,122,210321
Parukia,373.325,21,69,239,113325
2Guns,373.058,38,24,73,262058
Exile1,371.829,57,73,115,199829
Bangin,370.226,35,67,74,261226
jmz,369.184,53,38,43,273184
D4SH,366.821,59,50,110,197821
Paparotis,366.473,21,61,91,254473
Cherry,366.394,18,98,201,147394
Destroy,365.681,30,48,97,238681
Dream,365.603,47,37,69,249603
NvN,365.217,32,57,97,236217
Floris56,364.857,46,31,68,250857
DM ping,363.344,72,31,45,246344
Pikii,363.18399999999997,39,57,66,258184
escoX,362.983,15,126,198,149983
Xiaomi,362.907,58,53,107,197907
Execute,362.682,11,129,205,146682
Dehaste,362.498,32,22,91,239498
GoDirr,361.687,38,47,63,260687
Archfiend,361.187,36,57,85,240187
Pockus,361.094,15,98,194,152094
Will,359.72,45,41,116,198720
Jimsnop,359.651,50,58,67,242651
Nitz,358.797,41,47,58,259797
Phoenix,358.777,33,65,55,270777
Ligen,358.398,41,43,99,218398
Artoria,358.179,38,42,53,267179
Wasteland,356.808,45,35,89,222808
MadDogg9,356.623,51,39,84,221623
IDA,356.57,54,32,66,236570
Yur4ik,356.186,25,62,187,144186
KoxTroll,355.817,48,54,105,202817
OrthoZero,355.205,18,108,204,133205
Sintax,354.969,43,53,71,240969
Rang,354.941,50,59,111,193941
huhi,354.261,11,118,166,177261
Kackos,354.048,27,51,74,253048
Himmel,353.49,44,32,92,217490
freaky dao,353.28700000000003,42,61,105,206287
uden,353.157,13,95,191,149157
Fishireal,352.618,40,47,67,245618
Mixtsure,352.473,17,60,196,139473
Makitah,352.42,46,32,60,246420
Dinastik,350.11899999999997,41,35,58,251119
Doxy,349.716,41,38,56,252716
Elix1r,349.221,50,62,113,186221
Neo,347.96799999999996,51,45,70,226968
Duduhh,347.88599999999997,36,27,65,246886
MélyaP,347.671,48,27,61,238671
D4rtaine,345.399,39,38,73,233399
Winsome,344.794,10,55,233,101794
Évangelyne,343.7,55,14,88,200700
CaptainSexy,343.076,54,41,56,233076
LDK,342.401,28,66,205,109401
Prage,342.171,44,64,71,227171
Piccolo,341.109,23,82,200,118109
Bojji,340.952,53,50,96,191952
linn,340.856,62,34,65,213856
Yerikan,340.547,12,50,182,146547
Wrongo,340.278,12,81,211,117278
isaN,340.143,45,45,99,196143
OvO,339.183,15,70,218,106183
zeen,338.108,61,47,94,183108
AisyL,336.69,45,32,78,213690
Master Jos,336.485,36,39,81,219485
DoubleB,336.332,42,66,58,236332
HNS R1to,335.421,27,80,56,252421
HAKA,335.094,25,60,85,225094
BVL uwaa,333.914,53,42,57,223914
Pulzer,333.81600000000003,50,30,36,247816
Yume,333.71299999999997,16,107,194,123713
Zenoken,333.492,34,61,111,188492
Tatsu,333.016,37,30,113,183016
smifi,332.973,19,119,194,119973
Necro,332.66700000000003,45,29,72,215667
Lime,332.639,36,27,95,201639
Sleepy,332.359,36,38,53,243359
Kubus,332.307,26,50,54,252307
Coward,331.178,59,37,90,182178
Ouzi,330.663,52,38,64,214663
Relaxing,329.80499999999995,48,18,64,217805
L1f,329.644,36,24,72,221644
Ninefog,329.52299999999997,46,24,61,222523
Xay,329.15500000000003,53,24,55,221155
DG Wing,329.137,51,22,86,192137
DG W1ng,328.486,49,24,53,226486
Molanes,328.38,33,48,112,183380
Rosa,328.245,41,55,62,225245
HNS ekkusu,327.226,29,112,103,195226
Robenong,326.902,40,43,63,223902
Guubi,325.54,30,77,94,201540
Peco,325.244,27,32,68,230244
Kobs,324.964,38,61,100,186964
Azu,323.32399999999996,60,41,74,189324
Aitlade,323.159,48,34,57,218159
Vit,323.009,56,33,81,186009
Xen0gan,322.564,30,47,72,220564
Pann,320.519,10,28,205,105519
VT Magus,320.116,17,61,188,115116
MG QTC9,319.621,58,33,55,206621
Nukez,318.542,21,76,164,133542
Gilito,318.21999999999997,17,72,189,112220
Whyx,317.81,21,79,180,116810
Deepe,317.647,35,24,74,208647
Waterbender,316.779,39,29,51,226779
konseki,316.247,25,85,165,126247
Kindless,316.212,46,27,57,213212
kairi,316.081,20,90,171,125081
Deadhound,316.025,47,41,51,218025
Rhino,315.371,18,82,166,131371
Turtle,315.225,33,43,72,210225
Ihy0,314.373,38,49,73,203373
Aymen,314.108,18,67,193,103108
BVL Fantasyleaf,314.043,32,49,61,221043
gtrik,314.005,40,40,63,211005
Bambi,313.645,27,35,62,224645
miflond,313.47700000000003,40,68,106,167477
PO8,313.359,33,29,63,217359
Caner,313.306,55,26,56,202306
Tyrion,313.198,38,30,121,154198
Thoryn,312.261,41,29,71,200261
Diamond,311.933,13,54,168,130933
Coated,311.577,37,49,68,206577
Lazarus,310.9,48,47,35,227900
Levizin,310.45,35,44,117,158450
Ghost,310.29200000000003,48,6,60,202292
Zankiller,309.939,36,47,113,160939
Babuleh,309.051,36,42,46,227051
Rozpier,308.863,10,45,210,88863
Franky,308.547,41,39,68,199547
Kwebz,306.456,16,69,174,116456
Lvsyan,303.918,41,22,57,205918
Infinity,303.899,45,46,81,177899
DM SUISEI,302.16200000000003,52,42,73,177162
Perry,301.36400000000003,32,27,106,163364
Marzo,301.17,41,16,45,215170
MrJackson,300.701,51,37,66,183701
Yuanyue,299.503,35,36,74,190503
child,299.03,30,76,155,114030
Lozer,298.763,52,51,59,187763
Ever,298.735,53,61,71,174735
Seize,298.176,34,40,93,171176
Kotvyc 74,297.328,43,28,52,202328
Electro,296.985,32,54,49,215985
OverT1me,295.334,18,119,145,132334
Hika,295.137,32,27,45,218137
Minous,294.969,15,62,149,130969
Morfan,294.906,44,31,62,188906
ArQuel,293.837,26,62,70,197837
Tenshi,293.10699999999997,18,48,49,226107
Steller,293.009,25,31,60,208009
Xinshou1,290.743,54,69,66,170743
P9,290.497,45,41,90,155497
Yasikof,290.229,47,33,82,161229
Six0x,290.042,38,18,42,210042
Luca Brassi,289.738,48,31,52,189738
Soul,289.646,21,71,162,106646
Tianzhen,288.755,36,52,104,148755
Astrai,288.276,15,57,174,99276
Weiwei,288.137,29,55,78,181137
Roo,288.053,18,60,182,88053
Taxvig,287.879,32,53,94,161879
VK udon,287.30600000000004,19,52,64,204306
Tyrone,287.074,48,10,65,174074
Sora,286.908,28,47,39,219908
Lofti,286.387,29,39,39,218387
Reaper,286.347,33,47,121,132347
Mikusik,285.122,58,45,52,175122
Bardito,284.697,10,53,158,116697
sinian,284.483,40,24,80,164483
Hades2,284.00800000000004,30,66,97,157008
Bumblebee,282.953,37,26,56,189953
Beluga,282.547,37,20,61,184547
RPG Nakamura,282.499,51,54,29,202499
Mission,281.857,27,58,58,196857
qiuyu,281.612,31,33,72,178612
DoubleAces,281.326,28,28,104,149326
Air,280.31,24,41,52,204310
Coli,280.064,10,84,166,104064
SQG Lunatic,279.542,39,34,48,192542
Robertoos,278.579,11,59,157,110579
GZ Herma,278.407,36,20,50,192407
Mio7,276.978,28,33,66,182978
Rhuckz,276.032,10,60,172,94032
Pyrka,275.605,17,36,172,86605
sorrow,275.529,36,36,81,158529
Tore,275.294,14,32,166,95294
Raizy,274.18899999999996,24,41,25,225189
Artanis,273.583,26,51,96,151583
Hustlin,272.926,12,55,173,87926
Tigrot,272.513,10,66,183,79513
Buggax,272.244,40,21,41,191244
Beyond,271.852,27,75,60,184852
FS Oliv,270.575,25,32,78,167575
Mildorff,270.367,24,33,71,175367
Matsukaze,270.331,31,15,41,198331
Alan,269.949,32,23,56,181949
Ozgur,269.701,36,26,43,190701
Spawn,269.63,40,15,41,188630
CK Ls ,269.593,10,95,163,96593
Yanxiang,269.53499999999997,35,21,95,139535
BOO rururu,269.097,41,26,69,159097
Efias,268.835,16,51,153,99835
NCP Sassappel,268.834,30,51,104,134834
Tenacity,267.204,25,28,48,194204
Poipi,267.168,9,83,155,103168
GRX,266.734,38,36,88,140734
Ipecacuhana,265.937,21,70,137,107937
Phyraxx,265.868,30,28,52,183868
Tea0r,265.639,35,48,57,173639
Enthralled,265.565,29,33,56,180565
Young,265.445,31,26,67,167445
L1,265.385,15,89,150,100385
SQG ATRanD,265.21,17,36,70,178210
Peach,265.136,32,32,93,140136
Nade,264.84000000000003,11,64,148,105840
IHEBIC,264.552,20,59,153,91552
Vuxan,263.966,33,63,68,162966
Rito,263.844,6,25,192,65844
Yoshida,261.521,36,41,66,159521
Juliera,261.483,32,18,41,188483
KCH jericho,261.256,19,23,58,184256
EG Ratel,260.697,41,39,50,169697
Enkil,260.461,11,49,162,87461
BVL Fake1,260.317,14,85,147,99317
Dome,260.294,39,33,76,145294
Guanch0,259.868,39,33,52,168868
HNS phast,259.404,12,88,142,105404
Alén Stark,258.702,26,38,49,183702
Hamsi,258.678,15,36,66,177678
Richu,258.587,8,70,160,90587
LANDY,258.58,19,22,24,215580
meight,258.484,25,33,71,162484
Enigma,257.641,21,31,41,195641
Pedrolo,256.378,25,42,43,188378
Wendel,255.959,17,63,143,95959
Jungoat,255.7,31,38,94,130700
Xavi,255.477,10,71,151,94477
Mir,255.301,37,58,63,155301
Fame,255.003,23,56,82,150003
kamilius,254.811,16,51,153,85811
Kheng,254.643,41,49,76,137643
Eski,253.721,13,39,144,96721
Mis,253.364,21,28,38,194364
alishor,253.329,26,50,57,170329
Ryo,252.316,44,43,72,136316
Nia,252.088,39,25,58,155088
Ripper,251.786,43,27,40,168786
Thumb,251.555,9,92,129,113555
Unicow,251.426,28,29,19,204426
Torak,250.964,32,23,48,170964
FireAscept,250.89499999999998,25,40,45,180895
BVL Snow Panda,250.537,11,63,150,89537
Dawn,250.131,32,15,62,156131
Scuffed,249.90300000000002,22,39,52,175903
Bf,249.819,15,66,118,116819
Sangrod,249.249,37,32,48,164249
Marzaya,248.846,41,44,44,163846
Zero,248.31,41,17,47,160310
NCP Lchallenge,247.813,12,53,140,95813
RealR,247.482,39,35,81,127482
Chompy,247.456,22,30,49,176456
Randal,247.204,28,51,83,136204
Hylissang,246.317,13,76,153,80317
iyy,245.782,23,53,78,144782
Matixx,244.019,39,13,55,150019
Raydell,243.641,38,34,86,119641
Roobin,243.606,19,39,32,192606
Lelouch,243.387,23,33,29,191387
VEL tetu,243.279,31,31,30,182279
ZUIAN,242.876,35,22,38,169876
Grèédy,242.829,16,99,129,97829
mikasa,242.659,26,31,91,125659
Pooya,242.554,40,12,60,142554
Henli,240.606,34,23,47,159606
Stunt,240.51999999999998,11,21,157,72520
Nova,240.46599999999998,10,60,153,77466
Jcom,240.459,41,30,69,130459
Banino,240.445,12,58,134,94445
Danden,239.052,22,40,79,138052
EdbyK,238.90699999999998,18,34,64,156907
BKD Meii,238.475,37,47,78,123475
Jellou,238.014,12,57,117,109014
xinsheng,237.29000000000002,28,26,65,144290
DCT JDD,237.158,43,21,30,164158
Diva,237.02499999999998,43,24,38,156025
Later,236.738,38,23,49,149738
Wuanted,236.72899999999998,32,40,70,134729
Heru,236.648,26,28,45,165648
Rias1,236.546,27,22,30,179546
Fush,236.25,35,41,56,145250
Varin,236.12099999999998,4,59,144,88121
PCS OQ67,236.115,40,46,62,134115
BANKAI,235.734,28,19,43,164734
Sehun,235.63299999999998,36,25,56,143633
Mimosa,235.412,28,14,51,156412
Oceann,234.74200000000002,19,45,56,159742
Conformista,234.722,28,28,39,167722
EN,234.569,14,130,132,88569
Oguzkhan,234.482,28,20,88,118482
VEL BEEHIV3,233.04500000000002,23,36,46,164045
looki,232.96800000000002,37,16,32,163968
KT A FenRir,232.867,33,29,39,160867
Selxiss,232.25,28,36,73,131250
cc,231.68099999999998,34,30,67,130681
BKD anakin,231.403,10,45,123,98403
Starhide,229.429,11,50,151,67429
Vander,228.841,16,51,135,77841
Yohan,227.586,40,37,55,132586
MG Selxiss,227.083,37,32,80,110083
Azuka,226.254,31,30,42,153254
CBL,225.542,9,44,138,78542
BLS TaiTa,223.69400000000002,34,32,21,168694
Paladin,223.37,25,16,51,147370
AIM4,223.331,19,30,36,168331
Ancrath,223.162,27,32,48,148162
Scars,223.141,42,26,21,160141
Fireblade,223.084,27,25,58,138084
bat,222.906,26,34,44,152906
BLS Fantasyleaf,222.811,16,48,25,181811
Kaplica,222.128,17,39,31,174128
GZ Gon,221.803,26,28,74,121803
Bust,221.37,22,27,38,161370
Adizai,220.947,17,49,39,164947
Carim,220.60999999999999,22,32,64,134610
Dextyle,220.393,8,61,123,89393
nrmn,219.885,28,22,48,143885
Nasser,219.691,28,48,65,126691
Deceller,219.046,27,45,59,133046
Dawi,219.015,25,33,21,173015
Jarvis,217.27,20,48,59,138270
Tyr,216.218,7,64,129,80218
Chryssey,215.31,34,24,24,157310
Bolyy1,214.986,6,42,141,67986
NowFin,214.656,33,40,66,115656
GaraXy,214.401,15,30,84,115401
Crow,214.326,21,48,110,83326
EG Yuta,214.238,32,36,38,144238
Zeypher,213.732,33,20,43,137732
BVL GOODTRY,213.459,14,46,125,74459
Drannarith,212.565,14,35,116,82565
TQ,212.47,8,58,132,72470
Pigeonx,212.12,4,89,124,84120
Mystiques,211.956,12,76,112,87956
Miracle,211.01,5,46,139,67010
EG Digit,209.99400000000003,24,23,56,129994
Tayto,209.79,27,29,33,149790
BKD yokiha,209.772,18,43,48,143772
Boohis,209.505,7,38,132,70505
Fool,209.448,16,69,114,79448
Rutzou,209.292,12,34,114,83292
Cristonex,208.922,21,40,47,140922
Gato,208.762,10,34,124,74762
Jeyrus,208.555,30,19,26,152555
Don Ponk,208.374,13,55,109,86374
SM,208.26,35,17,40,133260
Wenjian,207.922,27,35,76,104922
ZeuSs,207.31900000000002,33,20,39,135319
Kelpo,207.287,11,50,121,75287
Zaiiche,206.821,21,27,34,151821
VLY Ryo,206.349,40,22,47,119349
Fred,206.172,29,17,53,124172
Ersin,205.474,18,29,57,130474
Be,205.441,21,15,63,121441
Cipher,205.006,31,37,35,139006
Raijin,204.344,8,49,126,70344
Anato,203.963,35,33,58,110963
PCS OQ34,203.942,33,17,45,125942
PCS OQ63,203.0,28,30,40,135000
Zoiren,202.726,23,34,26,153726
Maxterium,202.051,13,56,110,79051
Fortu,201.031,9,57,103,89031
MAT,200.626,14,52,48,138626
DM poshigi8,200.191,43,11,45,112191
froy,200.034,30,35,44,126034
Mikano,199.863,14,28,36,149863
NoDu,199.749,9,47,113,77749
RPG claude,198.855,24,45,38,136855
Fluffy,198.851,15,28,46,137851
RPG Kiwi,198.656,29,44,51,118656
Kolios,198.29500000000002,6,57,111,81295
Mood,197.15800000000002,17,61,94,86158
BrokenSword,196.897,27,28,40,129897
JustFocus,196.788,9,29,126,61788
IntoxqZz,195.949,23,26,40,132949
Atat,195.45499999999998,8,34,118,69455
Barry,195.068,15,39,100,80068
YYG Tory,194.13400000000001,25,20,42,127134
Zerito,193.535,18,19,30,145535
Narttaker,193.448,24,17,38,131448
Kiki,192.973,25,41,67,100973
TENG,191.734,8,21,137,46734
RPG Kikumin,191.155,17,44,52,122155
Benda,189.817,18,14,34,137817
Rosielove,189.697,5,50,95,89697
ZiYe,189.233,21,36,93,75233
Dipi,188.906,25,16,38,125906
Astrasmaug,187.782,21,25,29,137782
LeoLeCargo,187.37199999999999,6,64,114,67372
Alaric,187.153,8,24,115,64153
Shoiti,186.972,10,44,97,79972
Deletus,185.96699999999998,27,28,50,108967
Rilski,185.955,9,59,108,68955
Ninten,185.246,9,41,76,100246
SQG petal,185.245,24,29,70,91245
Ferrari,185.187,19,37,74,92187
Cruse,184.684,19,23,26,139684
CHECKFIDER,183.805,18,34,28,137805
Hamudis,183.304,30,51,28,125304
Alleycat,183.276,19,23,32,132276
Gaarfield,182.816,11,38,95,76816
putaogou,182.257,29,32,47,106257
RAFBIN,181.608,20,20,19,142608
Void,181.324,34,16,29,118324
RPG sign,181.284,11,40,40,130284
9eetoo,180.864,14,25,24,142864
Clayce,180.49099999999999,14,34,35,131491
BLS shironeco,180.18099999999998,18,57,21,141181
SkyMind,179.62,14,26,52,113620
v1SaG3,179.459,17,30,21,141459
Benny,179.364,40,13,52,87364
Ducks,178.63500000000002,9,59,97,72635
Stalken,178.149,27,20,31,120149
VEL Lambda,178.11599999999999,21,35,34,123116
DNF Euphoria,177.805,25,15,33,119805
bicas,177.531,24,27,58,95531
Hran,177.082,34,10,38,105082
Argonauta,176.845,4,39,112,60845
GianKios,176.37099999999998,18,29,39,119371
Tada,176.192,16,45,19,141192
RPG hanya,175.565,16,49,36,123565
KT A Ripple,175.162,25,17,27,123162
Gryffinn,174.618,21,30,49,104618
Ryan3,174.438,25,16,30,119438
Rashiro,174.289,27,15,41,106289
Kirei,173.791,18,31,54,101791
Hax,173.412,35,23,27,111412
Bitse,173.174,14,38,50,109174
Abner,173.07999999999998,40,9,25,108080
Benaset,172.539,5,73,88,79539
Lorenz,172.123,9,73,74,89123
Today,171.699,8,29,109,54699
Dyego,171.428,28,33,17,126428
ptt,171.129,17,42,16,138129
wild,170.971,33,21,31,106971
Maty,170.621,7,33,89,74621
Kotva,170.60500000000002,5,46,103,62605
Genos,170.171,19,24,39,112171
NGU Slowz1,169.831,27,18,24,118831
Dino,169.353,24,44,37,108353
Maple,169.315,8,26,24,137315
PCS OQ61,168.952,26,32,39,103952
Relax,168.177,11,49,104,53177
LL,168.131,22,13,32,114131
Dinai,167.554,31,22,43,93554
juny,166.67000000000002,13,38,52,101670
HC KZT,166.64499999999998,29,21,37,100645
curty,166.591,16,24,17,133591
NGU PeterL,166.544,27,17,25,114544
Jelly,166.397,8,30,105,53397
RPG petal,164.714,27,32,34,103714
Mun,164.518,5,39,94,65518
DK Seonwoo,163.124,34,6,37,92124
Egotistic,162.897,22,19,32,108897
Deliverzz,162.644,22,40,47,93644
Nasut,161.773,17,50,35,109773
CrAzY,161.446,26,20,36,99446
ThayT,161.054,21,29,42,98054
PCS OQ31,160.896,13,15,38,109896
MaxouTigrou,160.851,16,34,52,92851
KT A Soft,160.798,22,22,54,84798
Slowyng,160.139,13,23,68,79139
VK peakey,160.101,7,51,105,48101
Mettalica,160.098,30,19,18,112098
DM StarRanger,160.038,21,14,41,98038
april,159.824,5,53,95,59824
PME Den,159.61499999999998,17,25,35,107615
VG thoc,159.462,21,20,31,107462
JuanDeDios,159.08,14,16,37,108080
Akrantor,158.644,13,18,45,100644
NGU Warrior1,158.45600000000002,18,26,45,95456
Zezin,158.44799999999998,11,23,35,112448
VEL Skinny,158.313,10,47,57,91313
Ceasarna,157.341,26,15,46,85341
Egnom,156.969,29,23,26,101969
Jiux,156.806,22,25,30,104806
Manolito,155.918,9,28,49,97918
Dezo,155.627,23,20,23,109627
Cryogen,155.189,4,37,81,70189
DRX XeRone,154.906,24,18,21,109906
Sikterr,154.481,19,21,56,79481
PCS OQ33,153.998,25,19,28,100998
Robko,153.983,9,29,97,47983
BLS 1KK1,153.947,11,59,45,97947
PCS OQ32,153.587,13,16,67,73587
Unchained,153.522,24,23,20,109522
Rhythm,153.203,15,23,18,120203
LUP KDavid02,152.349,27,23,26,99349
HM Delta 1,152.344,22,14,32,98344
Jerry,152.338,2,22,102,48338
Baula,151.972,4,20,99,48972
Birkyy,151.611,17,12,43,91611
VietThanh,151.538,10,36,33,108538
WP rcg,150.507,10,17,37,103507
Crecre,150.434,1,38,98,51434
Ninji,150.012,16,32,32,102012
Kita,149.895,2,32,97,50895
GZ Kin0,149.687,5,24,83,61687
EG ZeeTee,149.271,3,41,98,48271
Hyper720,148.803,13,22,31,104803
PCS OQ65,148.787,8,36,84,56787
APE Thorfin,148.361,25,14,53,70361
ESBA DON ADY,147.341,25,13,21,101341
xLiang,147.014,27,13,18,102014
Wingate,146.895,16,36,51,79895
PME Zoro,146.407,19,26,20,107407
JiaHao,146.365,24,18,19,103365
GGA Hosanna,146.137,5,27,91,50137
Vinicete,146.07500000000002,13,36,46,87075
Slice,145.978,16,34,36,93978
Burence,145.902,4,60,90,51902
GZ Frozen,145.09,11,33,83,51090
hammerul,145.01,19,32,40,86010
Adryh,145.008,10,36,20,115008
WeeDnek,144.775,15,70,38,91775
HAP Dishonored,144.417,28,19,27,89417
VG dd1,144.367,25,18,33,86367
Whynot,143.69,13,30,52,78690
DrSaw,143.407,15,28,28,100407
Verdes,143.144,10,27,26,107144
Destru,143.136,26,8,31,86136
Exduardo,142.911,28,18,29,85911
Dawerko,142.791,9,28,51,82791
Gremy,142.23000000000002,16,46,33,93230
Likeamaws,140.491,13,24,25,102491
Lil,139.838,20,26,42,77838
AnnieBot,139.669,17,22,16,106669
Redfernal,139.052,2,29,89,48052
KT A Cid,138.827,14,26,32,92827
SQG Ls,138.60500000000002,5,35,84,49605
Dreilix,138.55,21,20,9,108550
Aitze,138.411,20,12,37,81411
DIV Pro Hanter,138.27100000000002,26,8,11,101271
KDavid02,138.132,18,19,35,85132
Zerberus,136.988,17,23,28,91988
Eskiper,136.698,7,48,77,52698
Malala,136.683,6,43,78,52683
Hypa,136.411,18,43,14,104411
Reedfoo,135.912,20,16,25,90912
DRX Sun eater,135.901,14,23,34,87901
Frappii,135.666,18,11,19,98666
Bladeshow,135.48999999999998,30,22,22,83490
Kerraii,135.403,10,16,41,84403
Sh0Fty,135.378,2,25,93,40378
Tobi,135.261,14,23,58,63261
Gom,135.254,9,42,72,54254
SCBC Bojji1,134.422,17,11,46,71422
Sriffow,134.052,15,32,40,79052
Tele,133.836,21,12,19,93836
Xiao,133.755,15,27,35,83755
JForteX,133.572,9,25,77,47572
Dragneel,133.41400000000002,7,25,30,96414
BCE Blesia,132.806,17,12,13,102806
Ferenc,132.344,12,25,22,98344
Paolocannone,132.147,8,50,74,50147
TheHank,131.994,6,28,72,53994
Watket,131.636,2,40,74,55636
JiT,131.317,14,16,28,89317
ThunderPeng,130.907,5,25,73,52907
Ethe,130.702,8,36,12,110702
Rexat,130.606,9,37,70,51606
Whale,130.568,14,24,20,96568
Steellar,130.162,13,24,22,95162
Hunt,130.09799999999998,22,20,32,76098
Ty,129.34,18,25,34,77340
amatsusune,129.289,15,9,20,94289
zzeta,129.135,12,24,17,100135
STank,129.096,5,26,42,82096
Milan,128.56,10,10,42,76560
PME Asykz,128.409,13,6,30,85409
PAPU Raviool,128.082,14,29,23,91082
Garank,127.676,5,54,58,64676
Berik,127.196,16,14,16,95196
IanaTheAlpha,126.993,3,25,83,40993
Free,126.95599999999999,17,8,26,83956
Quokka,126.607,18,23,14,94607
Thominhas,126.54899999999999,8,34,75,43549
HLE Eclipse,126.521,24,14,31,71521
Tazaku,126.366,21,8,13,92366
SAD Raizy,126.183,14,12,24,88183
Toxy,126.102,18,12,31,77102
Sobek,125.99000000000001,17,17,38,70990
Mac Abert,125.875,12,20,43,70875
Vikes,124.83699999999999,19,25,17,88837
Autophil,124.753,17,23,42,65753
Thorfin,124.15,18,31,38,68150
KJ Yikesuo,123.89699999999999,12,10,28,83897
Wos,123.699,1,56,71,51699
Lele,123.208,6,32,72,45208
Guirlande,122.86,14,28,41,67860
beishang,122.679,12,17,32,78679
JokerHan,122.62599999999999,15,9,20,87626
Humble,122.17200000000001,15,18,24,83172
Valehir,121.747,5,38,61,55747
Lio,121.67699999999999,9,32,30,82677
Munet,121.092,22,45,32,67092
HNVR storm,120.969,20,14,26,74969
Renewal,120.211,15,23,29,76211
Haoswen,120.02199999999999,2,30,78,40022
Speedy,119.733,9,37,39,71733
Sola,119.54599999999999,21,18,32,66546
Droekt,119.34400000000001,7,32,34,78344
Hollow,119.064,9,17,36,74064
Kongyue,119.006,19,39,31,69006
Tide,118.181,17,10,30,71181
DDicent,117.99199999999999,20,18,37,60992
JaVaaa,117.38300000000001,10,26,24,83383
Taco,117.298,18,21,23,76298
CbhhuZi,117.13900000000001,3,31,74,40139
VEL fuki,117.107,6,47,58,53107
ffernandes,116.89,10,14,19,87890
DANKI,116.316,6,9,29,81316
Xiaorui,116.252,11,10,29,76252
