teamname,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,plate_diff
Beşiktaş Esports,0.4418604651162791,0.4418604651162791,3.2790697674418605,2.8372093023255816,0.44186046511627897
Bilibili Gaming,0.625,0.5,4.25,3.2083333333333335,1.0416666666666665
Bilibili Gaming Junior,0.14285714285714285,0.2857142857142857,2.857142857142857,3.5714285714285716,-0.7142857142857144
Black Dog,0.5,0.3,4.7,4.6,0.10000000000000053
Black Lion,0.0,0.0,1.5,6.5,-5.0
BloomStorm,0.2,0.2,3.3,6.2,-2.9000000000000004
Blue Otter,0.3939393939393939,0.3333333333333333,2.4242424242424243,4.303030303030303,-1.8787878787878785
BoostGate Esports,0.5857142857142857,0.6,4.328571428571428,3.8285714285714287,0.49999999999999956
BraVeLY,0.42857142857142855,0.38095238095238093,3.1904761904761907,5.119047619047619,-1.928571428571428
Broke,0.0,0.0,5.0,8.0,-3.0
Bulldog Esports,0.41304347826086957,0.391304347826087,3.0869565217391304,5.326086956521739,-2.239130434782609
Burning Core Toyama,0.6226415094339622,0.5471698113207547,5.056603773584905,4.433962264150943,0.6226415094339623
Bushido Wildcats,0.4666666666666667,0.4444444444444444,2.8222222222222224,3.577777777777778,-0.7555555555555555
CCG Esports,0.4594594594594595,0.5135135135135135,3.5675675675675675,3.135135135135135,0.43243243243243246
CGN Esports,0.4,0.5,3.975,4.6,-0.6249999999999996
CITA Kaizen,0.5833333333333334,0.4583333333333333,4.083333333333333,4.875,-0.791666666666667
CORE 128,0.35714285714285715,0.2857142857142857,2.5714285714285716,4.785714285714286,-2.214285714285714
CTBC Flying Oyster,0.6631578947368421,0.6947368421052632,4.957894736842105,3.473684210526316,1.4842105263157892
CTBC Flying Oyster Academy,0.5192307692307693,0.5,4.673076923076923,4.519230769230769,0.1538461538461542
Caldya Esport,0.5,0.625,4.0,2.875,1.125
Chiefs Esports Club,0.21428571428571427,0.19047619047619047,2.4761904761904763,4.309523809523809,-1.833333333333333
Citadel Gaming,0.25,0.4375,3.625,3.1875,0.4375
Clocks,0.6041666666666666,0.5625,4.104166666666667,3.5833333333333335,0.5208333333333335
Cloud9,0.5098039215686274,0.49019607843137253,3.3137254901960786,3.627450980392157,-0.3137254901960782
Colossal Gaming,0.5882352941176471,0.7352941176470589,4.088235294117647,3.588235294117647,0.49999999999999956
Connect Arena Esports,0.0625,0.0625,2.9375,7.375,-4.4375
Contrata Logo Meu Time,0.7142857142857143,0.6428571428571429,4.285714285714286,2.357142857142857,1.9285714285714284
Conviction,0.6444444444444445,0.6666666666666666,4.222222222222222,3.8,0.4222222222222225
Corinthians Esports,0.45652173913043476,0.5,3.5434782608695654,3.5217391304347827,0.021739130434782705
Crusaders,0.625,0.5,3.875,4.125,-0.25
Crvena zvezda Esports,0.7352941176470589,0.7205882352941176,5.5588235294117645,3.0294117647058822,2.5294117647058822
Cupid Esports,0.25,0.25,2.25,4.25,-2.0
DCT eSports,0.8,0.7,3.4,3.6,-0.20000000000000018
DKB XPERION NXT,0.5,0.3333333333333333,3.5,5.833333333333333,-2.333333333333333
DMG Esports,0.425,0.375,3.175,5.025,-1.8500000000000005
DN Freecs,0.4230769230769231,0.358974358974359,3.0256410256410255,3.2564102564102564,-0.23076923076923084
DN Freecs Academy,0.484375,0.421875,5.015625,4.078125,0.9375
DN Freecs Challengers,0.6404494382022472,0.6179775280898876,3.9887640449438204,2.752808988764045,1.2359550561797756
DOCISK,0.2692307692307692,0.23076923076923078,3.6153846153846154,5.8076923076923075,-2.192307692307692
DRX,0.4186046511627907,0.38372093023255816,2.8372093023255816,3.6744186046511627,-0.8372093023255811
DRX Academy,0.1,0.1,1.9,6.54,-4.640000000000001
DRX Challengers,0.5666666666666667,0.6,3.7444444444444445,3.088888888888889,0.6555555555555554
Dark Roses,0.16666666666666666,0.3333333333333333,4.333333333333333,5.166666666666667,-0.8333333333333339
DarkZero Dragonsteel,0.5333333333333333,0.5777777777777777,4.111111111111111,2.7333333333333334,1.3777777777777773
Deep Cross Gaming,0.7176470588235294,0.7529411764705882,5.047058823529412,3.447058823529412,1.5999999999999996
Delta Syndicate,0.46511627906976744,0.4883720930232558,3.6744186046511627,4.348837209302325,-0.6744186046511627
Deltan Gaming,0.5945945945945946,0.6486486486486487,4.702702702702703,3.8378378378378377,0.8648648648648649
DetonatioN FocusMe,0.4,0.35,3.1,3.75,-0.6499999999999999
DetonatioN FocusMe Academy,0.5,0.4318181818181818,3.6363636363636362,5.0,-1.3636363636363638
Dignitas,0.3142857142857143,0.3142857142857143,2.857142857142857,3.342857142857143,-0.48571428571428577
Disguised,0.21428571428571427,0.25,3.8214285714285716,3.75,0.07142857142857162
Diver (Portuguese Team),0.5,0.5,3.0,3.5,-0.5
Divernex,0.3684210526315789,0.39473684210526316,3.6578947368421053,4.052631578947368,-0.39473684210526283
Diversion Gaming,0.43859649122807015,0.5789473684210527,4.315789473684211,4.245614035087719,0.07017543859649145
Dopamina E-Sport,0.5757575757575758,0.48484848484848486,4.151515151515151,4.121212121212121,0.030303030303030276
Dorado Gaming,0.5882352941176471,0.5294117647058824,2.764705882352941,3.4705882352941178,-0.7058823529411766
Dplus KIA,0.5638297872340425,0.5106382978723404,3.202127659574468,3.5531914893617023,-0.3510638297872344
Dplus KIA Challengers,0.20689655172413793,0.19540229885057472,1.7701149425287357,4.402298850574713,-2.6321839080459775
Dplus KIA Youth,0.5967741935483871,0.6129032258064516,5.048387096774194,3.3225806451612905,1.7258064516129035
Dragons Esports,0.5526315789473685,0.5263157894736842,4.0,3.789473684210526,0.2105263157894739
Dream Makers,0.4375,0.4375,4.375,3.9375,0.4375
Dream in 24,0.65,0.7,5.925,3.35,2.5749999999999997
Dung Dynasty,0.5384615384615384,0.5384615384615384,4.884615384615385,4.615384615384615,0.26923076923077005
Dynamo Eclot,0.5714285714285714,0.4857142857142857,4.142857142857143,4.828571428571428,-0.685714285714285
Dynamo Eclot Talents,0.27586206896551724,0.3448275862068966,2.896551724137931,4.827586206896552,-1.9310344827586206
E WIE EINFACH E-SPORTS,0.3974358974358974,0.34615384615384615,3.6025641025641026,5.166666666666667,-1.5641025641025643
EDG Youth Team,0.36363636363636365,0.36363636363636365,4.181818181818182,4.454545454545454,-0.2727272727272725
EDward Gaming,,,,,
EKO Esports,0.43243243243243246,0.32432432432432434,4.594594594594595,5.756756756756757,-1.1621621621621623
EXILE esports,0.37142857142857144,0.2857142857142857,2.942857142857143,4.685714285714286,-1.7428571428571429
Eintracht Frankfurt,0.33962264150943394,0.37735849056603776,3.452830188679245,3.9056603773584904,-0.4528301886792452
Eintracht Spandau,0.5,0.4318181818181818,4.454545454545454,3.8181818181818183,0.6363636363636358
Entropiq,0.4925373134328358,0.582089552238806,3.925373134328358,3.3582089552238807,0.5671641791044775
Esprit Shōnen,0.7358490566037735,0.7924528301886793,5.773584905660377,3.018867924528302,2.7547169811320753
Estral Esports,0.8571428571428571,1.0,6.714285714285714,2.4285714285714284,4.2857142857142865
Eternal Fire,0.5833333333333334,0.5,3.4722222222222223,3.0555555555555554,0.41666666666666696
Ethereal Enigmas,0.45098039215686275,0.39215686274509803,3.7450980392156863,4.568627450980392,-0.8235294117647056
Evolve eSports,0.0,0.0,2.5,9.0,-6.5
FN Esports,0.6111111111111112,0.6111111111111112,4.222222222222222,3.7222222222222223,0.5
FURIA,0.639344262295082,0.6557377049180327,3.9672131147540983,3.3114754098360657,0.6557377049180326
FUSION (Latin American Team),0.4444444444444444,0.4444444444444444,4.666666666666667,4.555555555555555,0.1111111111111116
Falke Esports,0.6511627906976745,0.627906976744186,4.093023255813954,3.302325581395349,0.7906976744186047
Fantastic Esports,0.5,0.5,3.8333333333333335,5.166666666666667,-1.3333333333333335
Farenvehn,0.8571428571428571,0.8095238095238095,4.571428571428571,2.1666666666666665,2.4047619047619047
FlameHard,0.6842105263157895,0.8421052631578947,5.526315789473684,3.6842105263157894,1.8421052631578947
