playername,kills,deaths,assists,damagetochampions,dpm,visionscore,totalgold
BKD yokiha,18,43,48,143772,441.64174999999994,295,107995
BL Frechdachs,2,12,14,8764,159.92455,163,12646
BL Niko Reaper,4,9,5,40161,712.08755,31,19567
BL Vinni Wonka,2,14,7,39856,720.2347,24,17470
BLS 1KK1,11,59,45,97947,344.79329,241,87164
BLS Fantasyleaf,16,48,25,181811,636.89576,221,102484
BLS TaiTa,34,32,21,168694,593.06522,218,104726
BLS shironeco,18,57,21,141181,505.86952,245,88427
BOO Blender,113,90,168,407166,711.1454473684211,433,226023
BOO Eve,7,8,22,47112,654.11555,60,25494
BOO FuraFura,58,65,124,337912,589.7238842105263,353,216875
BOO Razer,83,63,129,373037,763.9150875,419,203602
BOO Snow Panda,27,101,224,164360,294.65781578947366,1556,149634
BOO rururu,41,26,69,159097,562.11573,207,107349
BRT Speedy2,2,26,16,22774,238.2044,231,21549
BVL Fake1,14,85,147,99317,196.9843411764706,1534,118906
BVL Fantasyleaf,32,49,61,221043,636.7814454545455,295,123953
BVL Fubuki,193,153,261,590709,476.22893902439023,1563,462911
BVL GOODTRY,14,46,125,74459,214.08059090909092,1076,89964
BVL MayR,163,140,256,904866,720.5530463414634,984,497198
BVL Snow Panda,11,63,150,89537,238.29347692307692,1112,97438
BVL udon,70,126,146,448280,503.1839033333334,854,328060
BVL uwaa,53,42,57,223914,637.8525454545454,251,139079
BVL uwaaaa,67,116,173,422578,475.5584766666667,839,313969
Baashh,95,133,256,488598,413.5243,1265,398638
Babuleh,36,42,46,227051,549.0096615384616,301,140759
Baca,127,87,196,664593,697.5011103448277,1144,383005
Backlund,112,126,159,817653,623.9829128205129,924,488073
Bada,189,179,273,1059641,679.4901306122449,1097,603949
Badlulu,234,192,362,1351973,651.1606734375,1901,846127
Baiye,90,65,110,509016,675.8396347826088,731,311188
Baki,47,42,78,259745,650.756475,282,157329
Bala,39,40,80,271365,694.5455333333333,379,146881
Balyy,67,43,128,293903,607.73212,639,185930
Bambi,27,35,62,224645,704.34191,282,127140
Bananiasty,4,9,13,28825,450.02625,55,19930
Bananitoo,36,109,379,189838,195.8933103448276,3109,254867
Banderas,36,60,74,273193,603.9346142857142,378,177749
Bandit,73,46,121,263883,493.8306294117647,504,195596
Bangin,35,67,74,261226,602.6632714285714,257,148233
Banino,12,58,134,94445,209.30441428571427,1354,112577
Bardito,10,53,158,116697,200.51691764705882,1994,137368
Barrage,62,97,105,442627,606.4532,598,273296
Barry,15,39,100,80068,232.46720000000002,1032,89150
BartonaR,89,121,205,469584,517.2297931034483,739,310718
Basei,0,7,6,36154,573.97285,29,22139
Basraket,218,136,230,890355,803.4609705882353,929,505553
Batuuu,86,233,856,511500,238.36741029411763,7329,564101
Baul,71,92,237,331118,434.0753208333333,1798,240709
Baula,4,20,99,48972,194.430875,854,64922
Baumeef,253,233,562,1019537,572.5450596491228,1833,675163
Baus,260,444,474,1799987,694.9147195121951,1820,1109308
Baut,9,66,269,158520,210.30335000000002,2722,181869
Bayonetta,12,4,7,42874,768.54735,40,26544
Bazz,76,55,93,556181,616.6485115384615,996,353428
Bcan,197,129,308,1015421,709.1836847826087,1075,572423
Bdd,352,203,540,1916831,663.3747955555556,3194,1194057
Be,21,15,63,121441,508.6277875,231,86879
Beenie,91,84,152,536128,635.003156,956,338500
Beichuan,283,368,964,1659939,466.80940087719296,4732,1303075
Bejjaniii,0,12,3,20475,350.9971,31,16172
Beluga,37,20,61,184547,739.4675285714285,205,109528
Benaset,5,73,88,79539,188.07185714285714,1265,95777
Benda,18,14,34,137817,740.7519666666667,141,72356
Benny,40,13,52,87364,457.09058571428574,162,83189
Berik,16,14,16,95196,729.312525,76,52386
Berr,37,286,630,373499,181.41044677419356,7577,498752
Berserker,245,174,349,1671980,632.7846128205128,2806,1077700
BeryL,70,346,900,668407,216.6162244680851,10519,760328
BetaTwinz,4,13,23,19056,200.15526666666665,303,23379
Betty,303,141,374,1644155,707.2862295774648,2814,1016878
Beyond,27,75,60,184852,444.9234133333333,217,124454
Bf,15,66,118,116819,239.91890714285714,1622,111268
BiIIy,73,65,232,262149,524.2349,607,183432
Bible,2,35,71,35389,161.36306666666667,779,50323
Bie,82,124,582,396794,280.8375069767442,5565,394219
Bin,466,334,899,2706663,592.7940716312056,4248,1834618
Bio,79,131,191,372681,382.523675,1041,323263
BioPanther,56,102,162,546823,468.74825263157896,1019,413324
Biob,9,27,59,39344,205.08283333333335,611,47004
Biofrost,14,86,319,174949,189.1452,3243,231617
Birkyy,17,12,43,91611,552.99582,110,62339
Biskoo,18,169,300,201569,205.82998,3192,230145
Bissejr15,148,90,230,812666,678.6135871794871,818,457352
Bitse,14,38,50,109174,359.0654,347,93658
Bizyze,6,25,25,21242,204.09295,230,24662
Blaber,149,133,450,702383,417.10142941176474,2556,631214
BlackSwan,174,114,182,896790,756.2982171428572,979,525012
Blackout,11,17,28,70434,444.79348,121,59513
Bladeshow,30,22,22,83490,704.3209333333334,64,45432
BlauRosen,14,16,14,52612,653.1660333333333,52,30863
Blesia,138,96,162,709247,811.0093321428573,558,358413
Blind Walker,49,98,172,319646,385.4932347826087,1078,269237
Bloopy,9,26,60,44549,322.38620000000003,355,39334
Blue,6,17,40,26401,212.058925,438,31356
Blueboar,67,88,223,262700,374.0759217391304,723,240836
Bluffing,39,354,1018,574936,199.84736853932583,10616,713268
Boal,114,124,223,763063,568.4889317073171,1368,514888
Bobsik,173,157,282,1013685,621.3368800000001,1318,619624
Boda,371,221,448,1721600,760.4750118421052,2233,999173
Bojji,53,50,96,191952,458.5987428571429,509,154900
Bola,104,76,109,630399,808.8083952380952,884,324269
Bold,165,66,150,775701,845.083432,982,410854
Bolyy1,6,42,141,67986,172.5396166666667,1229,96570
Bong,88,121,148,598309,542.8934060606061,1071,407346
Bonnie,179,155,448,799053,442.7746418181818,2671,659984
Boohis,7,38,132,70505,176.64960909090908,1366,95507
Booki,161,116,413,586921,421.52976500000005,1949,504610
Booshi,297,128,441,1754157,691.8761708333334,2143,1063752
Boukada,89,120,304,503171,362.8815341463415,1884,458516
Boye,1,1,16,16355,473.1437,35,14003
Bradley,74,53,122,497297,812.4989055555556,540,255065
Brance,145,68,182,839534,844.782375,1189,431758
Brayaron,4,2,5,10541,455.9913,10,9665
Breathe,309,290,576,1992193,557.9607373831776,3770,1373864
Breezy,32,121,408,250657,185.830795,4569,331992
Brizz,40,79,173,278990,359.7883565217391,1514,216034
Broeki,193,145,233,924093,636.735261904762,1243,577829
BrokenBlade,244,225,424,1611556,570.443608139535,2965,1083347
BrokenSword,27,28,40,129897,567.7709714285714,117,88007
Brucee,148,178,499,699109,442.6886,2165,540286
Bruhruto,23,135,249,183806,201.24654666666666,2562,217479
Bruno,10,28,10,64799,580.5531,72,39130
BuLLDoG,191,229,442,1760672,698.8602789473683,3032,978915
BuLuKaKa,234,166,385,1223247,736.4265722222221,1555,712511
Buchi,52,82,96,421543,537.9864680000001,736,282254
Buero,68,54,66,256960,609.8906833333333,378,166821
Buggax,40,21,41,191244,716.1675125,177,121526
Built,59,52,118,293095,596.8032125,370,188396
Bulas,43,175,517,283061,206.10213720930233,4644,353447
Bull,259,182,353,1459984,654.8769136363637,2756,923668
Bumblebee,37,26,56,189953,791.9843125,200,99457
Burdol,144,102,207,842863,695.4079054054054,1371,494780
Burence,4,60,90,51902,184.67610000000002,825,70070
Busio,57,178,736,483313,223.66042,7857,549166
Bust,22,27,38,161370,578.5030444444444,181,102255
Busvicke,52,61,148,337039,549.7517947368422,452,221421
Bvoy,164,101,231,1233742,731.303802173913,1719,685154
Bwater,80,156,165,557228,572.94334375,827,333815
Bwipo,230,206,418,1508422,703.425425,2282,878726
C7,98,111,165,520190,567.4166333333333,802,353321
CBL,9,44,138,78542,249.38114000000002,982,80258
CHECKFIDER,18,34,28,137805,619.2594571428572,142,88419
CHEF,95,148,327,579645,402.6057857142857,1944,487218
CK GOMAMUGICH4,3,16,52,40121,220.51043333333334,566,46555
CK GOMAMUGICHA,17,88,287,149144,203.76119130434785,2108,188996
CK Ls ,10,95,163,96593,165.3055842105263,1753,136189
CK Razer,74,134,197,560697,583.3469066666668,914,329686
CK Saba,46,39,62,289128,762.4231454545454,357,145373
CK gotae,132,134,193,837944,721.9914594594595,809,458857
CK ss1,149,221,306,620330,402.7098708333333,1918,548559
CKZ vorfles,8,3,22,51373,745.2172,60,32078
CNV Chrome,11,5,14,48685,603.6132,75,35093
CPM,84,130,241,591810,389.87421875,964,513231
CROmpir,82,26,117,462698,785.18793125,573,248831
CRZ Cold Rose,9,4,6,40683,721.0572,34,24458
CRZ Flashpowa,7,6,6,29009,509.9995,30,24531
CRZ Satto,3,9,16,16123,288.6114,147,14999
CRZ Zeradyn,0,2,2,7283,268.5802,17,7324
CRZ pvm,0,7,1,6544,241.3276,36,7819
CRoNiiK,131,150,583,762824,431.645737735849,1908,624877
Caedrel,1,1,17,6281,229.6527,93,7633
Caliste,461,180,498,2265948,731.7043075268817,3662,1410124
Calix,229,209,370,1563907,614.5481172839507,2924,1021790
Callian,36,210,508,303098,233.1641219512195,4536,331104
Callme,279,212,606,1667600,770.2162073529412,2584,900354
Calmsky,35,171,396,280823,229.6797,3758,294384
Caltys,164,102,220,799368,732.9413774193549,904,458251
Camana,87,49,128,415587,680.7696263157895,600,254353
Camilonicolau,74,87,150,329220,459.67295454545456,907,248954
Caner,55,26,56,202306,652.62103,211,134478
Canna,273,224,486,1901438,616.2228903225806,3464,1221628
Canyon,358,280,1004,1753844,461.10775416666667,6096,1427257
Cape,12,22,22,50148,356.03407500000003,205,47467
Caps,285,206,457,1775138,624.4106523255814,2784,1177290
CaptainSexy,54,41,56,233076,623.1811,241,146924
Carbono,5,14,21,31541,323.58546666666666,130,32478
Care,345,305,624,1939455,594.3171323232323,4126,1290802
Career,114,315,1175,766774,229.35298653846152,12178,850027
Carim,22,32,64,134610,377.2729909090909,565,117927
CarioK,124,119,437,669497,405.742325,2380,585624
Carlsen,109,110,141,694587,469.9831613636363,1167,548610
Carnage,109,113,250,410287,418.5153833333333,1269,349710
Carros,82,58,87,329891,681.85696,302,187069
Carry,61,256,723,438047,222.27310333333335,7254,499341
Cartamenio,1,9,60,22501,238.01816666666664,332,25643
Carzzy,168,102,194,947522,730.9391243243243,1707,535289
Casting,302,256,665,1993386,643.5765183673469,3494,1211377
Castle,62,108,75,517975,562.4535321428572,1050,337875
Caucha,108,96,179,611248,560.3691085714286,846,436074
Cavalo,39,129,459,297875,205.3106956521739,5747,382705
CbhhuZi,3,31,74,40139,202.45062857142858,606,48682
Cboi,176,214,556,839786,438.49267741935483,2389,707442
Ceasarna,26,15,46,85341,464.62629999999996,197,64439
Celo,192,109,278,1051770,692.6576425531915,1919,666317
Centu,73,221,842,445170,222.60556349206348,6701,526302
Ceos,17,146,357,229760,160.84508205128205,5046,324326
Chama,8,9,10,38667,623.5200500000001,53,24558
Chan,195,98,260,920806,696.3512704545454,1232,546084
Chance2Win,75,74,53,330390,759.0398333333334,279,175725
Chap1nho,2,8,1,11994,471.277,10,7027
Charley,55,135,549,313212,307.7180611111111,3240,292576
Chasy,168,134,277,1031141,672.3186125,1461,602656
Cheng9,211,193,256,1030978,666.7273294117648,1528,603041
Cherry,18,98,201,147394,204.11239545454546,2212,171098
ChiCh1,370,223,521,1630332,845.3253836065575,1869,839694
Chien,179,183,327,1031926,681.4715632653061,1461,598976
Chika,116,83,191,568344,769.5191913043478,760,312106
Chompy,22,30,49,176456,838.1777333333333,109,75164
Chordy,81,120,337,547051,423.18630526315786,2548,392612
Chova,1,6,9,8679,264.335,86,7441
Chovy,444,240,879,2995494,783.3932966666667,4873,1671117
Chrislai,1,20,36,33237,262.5682,114,35779
Chryssey,34,24,24,157310,965.99792,106,66751
Cid,265,227,618,1607554,742.0067142857143,2422,905101
Cinkrof,117,134,350,571891,480.95484210526314,1624,427160
Cipher,31,37,35,139006,668.9055428571428,165,81656
Citrus,41,72,139,280382,417.2673894736842,1164,224545
Claww,166,264,381,1188330,567.3120553846154,1264,749129
Clayce,14,34,35,131491,610.2412666666667,225,63366
Clear,186,238,394,1420659,589.4414907894737,2275,898469
Click,41,178,446,326418,225.23798863636364,4968,356836
Climber,118,115,289,516828,406.82716153846155,1868,445680
Closer,67,61,204,312440,368.572148,1462,294083
Cloud,95,445,1178,759981,223.58683177570094,14161,903171
Clozer,235,188,502,1693621,647.700817721519,2709,1054317
CoBiT,68,359,726,502527,248.8587015625,7112,526329
Coated,37,49,68,206577,667.90185,295,124968
Coldraa,53,34,102,341133,699.4075733333334,440,199268
Coli,10,84,166,104064,238.9067142857143,1125,105066
Colomblbl,31,136,379,243794,231.27456774193547,3267,266513
Color,70,47,137,405378,686.9621421052631,511,244823
Comp,299,113,337,1782664,717.0427661764706,2534,1092909
Competitive,176,170,381,993616,623.6668019607844,1461,611654
Conformista,28,28,39,167722,551.42405,275,122853
Congolese,5,20,14,69997,521.87956,88,43347
Contractz,120,164,300,745255,443.17245217391303,2346,561045
CoreJJ,64,148,593,394503,202.23071333333334,6984,494656
Cospect,2,29,58,29508,191.42667999999998,530,38457
Courage,82,140,229,436109,375.72461944444444,1539,370041
Coward,59,37,90,182178,587.3741545454545,340,126949
CrAzY,26,20,36,99446,689.62078,108,65338
Crack,44,270,685,475698,212.12552028985507,8568,558735
Cracker,311,345,700,1918838,811.796628,2199,956526
Crecre,1,38,98,51434,153.62512727272727,1180,76646
Crem,256,93,271,1194184,771.7195872340425,1128,688359
Creme,502,340,913,3158150,754.3043125,4693,1733118
Crimson,111,102,207,712479,567.8384756756757,931,464407
Cripple,70,99,99,412608,802.4649352941176,375,198778
Crisp,83,473,1454,770351,182.154696124031,15180,1049683
Cristonex,21,40,47,140922,511.8509333333334,200,106818
Croac,9,18,16,65638,605.9907333333333,60,37632
Croco,146,125,292,621680,447.5287785714286,2006,508017
Crow,21,48,110,83326,227.31904999999998,1102,93480
Crowdy,7,11,8,38872,753.1452999999999,32,19637
Crownie,442,145,514,1817947,709.4674580246914,2637,1226509
Cruse,19,23,26,139684,593.8113714285713,184,88255
Cryogen,4,37,81,70189,261.5329,1020,65752
Cryscata,3,14,48,21518,245.4795,327,24042
Cube,235,336,702,2099526,567.1994508620689,3767,1377920
Cuicuixi,236,205,296,1158896,712.6341346153846,1550,699163
Cuzz,266,234,695,1295613,447.4087333333333,5079,1041652
Cyku,71,33,90,251135,928.65656,253,127581
Cypher,68,42,88,369854,629.5715111111111,758,240843
Czajek,117,85,213,903747,694.6393378378378,1324,506139
Czekolad,399,278,726,2429931,751.349435,3064,1341144
Czypsy,61,245,753,464129,228.86351333333332,7176,511571
D0kai,3,11,13,9440,173.359,122,12545
D1verse,39,66,58,299017,643.4386857142857,320,171991
D4SH,59,50,110,197821,550.1668000000001,420,137480
D4nKa,140,155,495,800416,490.21264199999996,1851,561504
D4rtaine,39,38,73,233399,564.4965,307,161088
DANKI,6,9,29,81316,626.262225,107,46873
DARKWINGS,151,100,277,1192190,788.0594139534883,1691,603513
DCT JDD,43,21,30,164158,929.3317800000001,178,83107
DD1,16,4,22,39368,744.5119,60,24630
DDahyuk,145,131,236,859361,549.3381869565218,1498,603369
DDicent,20,18,37,60992,417.85249999999996,187,53441
DDoiV,258,301,729,1294171,448.48026333333337,4777,1046536
DG Etude,77,72,153,413141,799.6638555555555,488,202704
DG W1ng,49,24,53,226486,727.3118,166,120507
DG Wing,51,22,86,192137,707.65258,181,109622
DG applepasta,67,55,122,286483,505.6143789473685,455,205650
DG hatinyang,84,78,138,352681,646.8577473684211,612,212340
DG kumuo,106,41,163,366773,709.0065388888889,478,225313
DG socceryakyu,135,46,168,367350,722.9583277777778,485,227050
DG suyahime,221,107,340,938357,864.4560702702703,1077,455783
DG toraneko,34,145,526,287458,273.4308810810811,3218,283764
DICE,267,112,395,1246225,817.408462264151,1615,693942
DIV Barata,4,5,17,15977,379.6515,65,15748
DIV Chambel,0,3,17,8127,220.7424,114,9208
DIV Leitinho,4,2,9,16053,436.0254,50,14847
DIV MinetasJR,4,9,28,25697,331.18925,159,25393
