teamname,objective_score,result
NORD Esports,18.982142857142858,35
NORTHS FURY,10.1,1
Natus Vincere,3.25,0
Near Airport,21.092105263157894,24
Never Give Up,14.788461538461538,9
Nice Try,16.22222222222222,4
Night Cap,16.0,5
Nightbirds,21.765151515151516,50
Nigma Galaxy,9.344827586206897,6
Ninjas in Pyjamas,,47
No Barry Berry,14.0,2
Nocturne Gale,23.88888888888889,30
Nongshim Esports Academy,16.276470588235295,39
Nongshim RedForce,15.713541666666666,41
Nongshim RedForce Academy,11.877358490566039,15
ODD Esports,12.909090909090908,9
OKSavingsBank BRION,14.424050632911392,30
OKSavingsBank BRION Challengers,14.0,33
Odivelas Sports Club,17.142857142857142,16
Oh My God,,10
Oh My God Academy,17.857142857142858,5
Once Upon A Team,15.868421052631579,18
One More Esports,15.253846153846155,26
Orbit Anonymo Esports,13.308510638297872,14
Orzeł Barcząca Esports,11.0,1
Otter Side,27.5,2
Oxygen Gaming,20.975609756097562,26
PRINCIPALITY,11.45,2
PSG Talon,17.964788732394368,38
PSG Talon Academy,16.745454545454546,28
PaiDA Miwan Bao,6.0,0
Papara SuperMassive,17.7,31
Papo Secos,12.0,1
Paputs Gaming,3.0,0
Partizan Esports,20.0,5
Partizan Sangal,19.90909090909091,29
Permitta eSports,10.3,2
Priority,13.409090909090908,3
Project Conquerors,19.161016949152543,36
Pulse Star,11.828125,8
PÊEK Gaming,18.565217391304348,10
QT DIG∞,19.77358490566038,35
RATZ,16.310344827586206,10
RED Academy,22.31081081081081,30
RED Canids,19.59722222222222,19
REDPack Esports,7.7,1
REJECT,22.455357142857142,46
ROSSMANN Centaurs,18.90909090909091,40
Radical Pop Gaming,5.613636363636363,2
Rage Bait e-Sports,21.25,1
Ramboot Club,16.65909090909091,21
Rich Gang,18.033333333333335,16
Rise Gaming,14.887096774193548,7
Rogue,15.293103448275861,6
Royal Never Give Up,,10
Ruddy Esports,14.705128205128204,16
SDM Tigres,16.083333333333332,12
SINS Esports,22.5625,6
SK Gaming,11.109375,6
SK Gaming Avarosa,1.5,0
SN CyberCore Esports,12.214285714285714,11
SPIKE Syndicate,18.93,29
Saigon Dino,20.96808510638298,32
Saigon Secret,15.58108108108108,17
Senshi eSports,19.012820512820515,18
Seven Dark,11.404761904761905,6
Shopify Rebellion,15.826086956521738,20
Sicar Esports,20.9,16
Silent Storm Esports,13.65,3
Skillcamp,10.833333333333334,6
Solary,17.471698113207548,28
Soul's Heart Esport,13.9,2
Spirit Quartz Gaming,15.808823529411764,17
Sponge Gaming,15.65,4
Sportia Khore,14.25,0
Stellae Gaming,17.347826086956523,26
StormMedia Fajnie Mieć Skład,20.06122448979592,30
Str1ve eSports,3.75,0
Supernova,15.666666666666666,14
T1,19.02991452991453,76
T1 Esports Academy,18.560747663551403,63
T1 Esports Academy Rookies,20.522727272727273,47
