playername,doublekills,triplekills,quadrakills,pentakills
CRoNiiK,7.0,0.0,0.0,0.0
Caedrel,0.0,0.0,0.0,0.0
Caliste,63.0,15.0,2.0,0.0
Calix,21.0,3.0,0.0,0.0
Callian,1.0,0.0,0.0,0.0
Callme,33.0,4.0,1.0,1.0
Calmsky,0.0,0.0,0.0,0.0
Caltys,25.0,5.0,0.0,0.0
Camana,15.0,4.0,0.0,0.0
Camilonicolau,8.0,1.0,0.0,0.0
Caner,10.0,1.0,0.0,0.0
Canna,29.0,9.0,0.0,0.0
Canyon,30.0,1.0,0.0,0.0
Cape,0.0,0.0,0.0,0.0
Caps,23.0,3.0,1.0,1.0
CaptainSexy,10.0,0.0,0.0,0.0
Carbono,0.0,0.0,0.0,0.0
Care,0.0,0.0,0.0,0.0
Career,2.0,0.0,0.0,0.0
Carim,3.0,0.0,0.0,0.0
CarioK,8.0,1.0,0.0,0.0
Carlsen,14.0,4.0,0.0,0.0
Carnage,11.0,3.0,0.0,0.0
Carros,13.0,3.0,0.0,0.0
Carry,3.0,1.0,0.0,0.0
Cartamenio,0.0,0.0,0.0,0.0
Carzzy,30.0,7.0,2.0,0.0
Casting,32.0,5.0,4.0,1.0
Castle,4.0,1.0,0.0,0.0
Caucha,11.0,1.0,0.0,0.0
Cavalo,1.0,0.0,0.0,0.0
CbhhuZi,0.0,0.0,0.0,0.0
Cboi,10.0,0.0,0.0,0.0
Ceasarna,2.0,1.0,0.0,0.0
Celo,28.0,5.0,0.0,0.0
Centu,1.0,0.0,0.0,0.0
Ceos,0.0,0.0,0.0,0.0
Chama,2.0,0.0,0.0,0.0
Chan,26.0,3.0,0.0,0.0
Chance2Win,5.0,2.0,0.0,0.0
Chap1nho,0.0,0.0,0.0,0.0
Charley,1.0,0.0,0.0,0.0
Chasy,18.0,4.0,2.0,0.0
Cheng9,24.0,4.0,2.0,1.0
Cherry,0.0,0.0,0.0,0.0
ChiCh1,46.0,11.0,1.0,0.0
Chien,19.0,2.0,0.0,0.0
Chika,15.0,4.0,1.0,0.0
Chompy,0.0,0.0,0.0,0.0
Chordy,8.0,1.0,0.0,0.0
Chova,0.0,0.0,0.0,0.0
Chovy,57.0,12.0,3.0,2.0
Chrislai,0.0,0.0,0.0,0.0
Chryssey,6.0,1.0,0.0,0.0
Cid,24.0,5.0,0.0,0.0
Cinkrof,5.0,1.0,0.0,0.0
Cipher,2.0,1.0,0.0,0.0
Citrus,3.0,0.0,0.0,0.0
Claww,10.0,1.0,0.0,0.0
Clayce,1.0,0.0,0.0,0.0
Clear,13.0,1.0,0.0,0.0
Click,1.0,0.0,0.0,0.0
Climber,0.0,0.0,0.0,0.0
Closer,5.0,0.0,0.0,0.0
Cloud,0.0,0.0,0.0,0.0
Clozer,27.0,2.0,0.0,0.0
CoBiT,3.0,0.0,0.0,0.0
Coated,2.0,1.0,0.0,0.0
Coldraa,6.0,0.0,0.0,0.0
Coli,0.0,0.0,0.0,0.0
Colomblbl,1.0,0.0,0.0,0.0
Color,9.0,3.0,0.0,0.0
Comp,39.0,8.0,2.0,0.0
Competitive,20.0,4.0,0.0,0.0
Conformista,2.0,1.0,0.0,0.0
Congolese,0.0,0.0,0.0,0.0
Contractz,8.0,1.0,0.0,0.0
CoreJJ,4.0,0.0,0.0,0.0
Cospect,0.0,0.0,0.0,0.0
Courage,7.0,0.0,0.0,0.0
Coward,7.0,0.0,0.0,0.0
CrAzY,4.0,1.0,1.0,0.0
Crack,4.0,0.0,0.0,0.0
Cracker,34.0,3.0,1.0,0.0
Crecre,0.0,0.0,0.0,0.0
Crem,36.0,9.0,2.0,0.0
Creme,3.0,0.0,0.0,0.0
Crimson,10.0,1.0,0.0,0.0
Cripple,6.0,0.0,0.0,0.0
Crisp,0.0,0.0,0.0,0.0
Cristonex,1.0,0.0,0.0,0.0
Croac,1.0,0.0,0.0,0.0
Croco,15.0,3.0,1.0,0.0
Crow,2.0,0.0,0.0,0.0
Crowdy,1.0,0.0,0.0,0.0
Crownie,72.0,18.0,2.0,0.0
Cruse,0.0,0.0,0.0,0.0
Cryogen,0.0,0.0,0.0,0.0
Cryscata,0.0,0.0,0.0,0.0
Cube,0.0,0.0,0.0,0.0
Cuicuixi,34.0,3.0,0.0,0.0
Cuzz,27.0,4.0,0.0,0.0
Cyku,13.0,1.0,0.0,0.0
Cypher,9.0,4.0,1.0,0.0
Czajek,14.0,4.0,1.0,0.0
Czekolad,43.0,4.0,1.0,0.0
Czypsy,3.0,0.0,0.0,0.0
D0kai,0.0,0.0,0.0,0.0
D1verse,4.0,0.0,0.0,0.0
D4SH,7.0,1.0,1.0,0.0
D4nKa,8.0,2.0,1.0,1.0
D4rtaine,2.0,0.0,0.0,0.0
DANKI,0.0,0.0,0.0,0.0
DARKWINGS,19.0,3.0,0.0,0.0
DCT JDD,9.0,2.0,0.0,0.0
DD1,3.0,1.0,0.0,0.0
DDahyuk,18.0,2.0,1.0,0.0
DDicent,2.0,2.0,1.0,0.0
DDoiV,25.0,3.0,0.0,0.0
DG Etude,15.0,1.0,0.0,0.0
DG W1ng,7.0,1.0,0.0,0.0
DG Wing,8.0,1.0,1.0,0.0
DG applepasta,14.0,4.0,1.0,0.0
DG hatinyang,11.0,0.0,0.0,0.0
DG kumuo,21.0,3.0,0.0,0.0
DG socceryakyu,17.0,3.0,0.0,0.0
DG suyahime,15.0,3.0,0.0,0.0
DG toraneko,0.0,0.0,0.0,0.0
DICE,37.0,7.0,0.0,0.0
DIV Barata,0.0,0.0,0.0,0.0
DIV Chambel,0.0,0.0,0.0,0.0
DIV Leitinho,0.0,0.0,0.0,0.0
DIV MinetasJR,1.0,0.0,0.0,0.0
DIV Pro Hanter,8.0,1.0,0.0,0.0
DIV pdr,1.0,0.0,0.0,0.0
DIV spoint,1.0,0.0,0.0,0.0
DK Nevid,2.0,0.0,0.0,0.0
DK Seonwoo,9.0,3.0,1.0,0.0
DK Shadow,0.0,0.0,0.0,0.0
DM SUISEI,9.0,1.0,0.0,0.0
DM StarRanger,2.0,1.0,0.0,0.0
DM history,40.0,7.0,0.0,0.0
DM p1ng,25.0,5.0,3.0,0.0
DM ping,9.0,2.0,0.0,0.0
DM poshigi8,9.0,0.0,0.0,0.0
DNF Euphoria,4.0,2.0,0.0,0.0
DNTL,4.0,0.0,0.0,0.0
DOMOLES,8.0,1.0,0.0,0.0
DOOM,11.0,0.0,0.0,0.0
DRX Lirua,0.0,0.0,0.0,0.0
DRX Nerion,1.0,0.0,0.0,0.0
DRX Sun eater,2.0,1.0,0.0,0.0
DRX XeRone,5.0,1.0,0.0,0.0
DS Pooya,1.0,0.0,0.0,0.0
DVLK,46.0,7.0,1.0,0.0
Daemi,4.0,0.0,0.0,0.0
Dafnis,0.0,0.0,0.0,0.0
Daglas,24.0,2.0,1.0,0.0
DahVys,25.0,3.0,0.0,0.0
Daiky,12.0,1.0,0.0,0.0
Dajor,32.0,4.0,1.0,0.0
Daksider,36.0,7.0,2.0,2.0
Damage,0.0,0.0,0.0,0.0
Damocles,45.0,10.0,1.0,0.0
Dan,24.0,3.0,2.0,0.0
Danden,0.0,0.0,0.0,0.0
Dandom,3.0,0.0,0.0,0.0
Dani,13.0,6.0,2.0,0.0
Danilo,4.0,0.0,0.0,0.0
Dardoch,13.0,1.0,0.0,0.0
DarkBlue,2.0,0.0,0.0,0.0
Darkeszy,26.0,1.0,0.0,0.0
Darky,0.0,0.0,0.0,0.0
David,12.0,1.0,0.0,0.0
Davyyy,0.0,0.0,0.0,0.0
Dawciu,11.0,2.0,0.0,0.0
Dawerko,2.0,1.0,0.0,0.0
Dawi,1.0,0.0,0.0,0.0
Dawn,4.0,2.0,0.0,0.0
Daystar,41.0,7.0,1.0,0.0
Deadhound,4.0,0.0,0.0,0.0
Deadly,21.0,4.0,0.0,0.0
Dean,17.0,1.0,0.0,0.0
Deant9,34.0,10.0,2.0,1.0
DeathArrow,1.0,1.0,0.0,0.0
Dec0y,2.0,0.0,0.0,0.0
Decay,25.0,3.0,0.0,0.0
Deceiving,8.0,2.0,0.0,0.0
Deceller,1.0,0.0,0.0,0.0
Deepe,7.0,1.0,0.0,0.0
Degh,1.0,0.0,0.0,0.0
Dehaste,5.0,0.0,0.0,0.0
Deidara,8.0,0.0,0.0,0.0
Dejo,0.0,0.0,0.0,0.0
Dekap,4.0,1.0,0.0,0.0
Deletus,3.0,0.0,0.0,0.0
Delight,3.0,0.0,0.0,0.0
Deliverzz,2.0,1.0,0.0,0.0
Demoncior,2.0,0.0,0.0,0.0
DenVoksne,40.0,12.0,1.0,0.0
Denathor,12.0,1.0,0.0,0.0
Destroy,3.0,0.0,0.0,0.0
Destru,5.0,1.0,0.0,0.0
Devn,32.0,8.0,1.0,0.0
Devost,18.0,4.0,0.0,0.0
Dextyle,0.0,0.0,0.0,0.0
Dezo,3.0,0.0,0.0,0.0
Dhokla,0.0,0.0,0.0,0.0
DiDi,21.0,6.0,1.0,1.0
Diable,64.0,19.0,3.0,1.0
Diamond,0.0,0.0,0.0,0.0
Dinai,2.0,0.0,0.0,0.0
Dinastik,5.0,1.0,0.0,0.0
Dino,5.0,0.0,0.0,0.0
Dionelux,10.0,1.0,0.0,0.0
Dipi,0.0,0.0,0.0,0.0
Diplex,17.0,2.0,0.0,0.0
Dire,24.0,3.0,0.0,0.0
Disamis,13.0,1.0,0.0,0.0
Diva,9.0,1.0,0.0,0.0
Divine,8.0,0.0,0.0,0.0
DizL,1.0,0.0,0.0,0.0
Dizin,13.0,0.0,0.0,0.0
Djoko,17.0,1.0,0.0,0.0
Dman,1.0,0.0,0.0,0.0
DnDn,14.0,3.0,0.0,0.0
Doggo,106.0,22.0,7.0,2.0
Doinb,0.0,0.0,0.0,0.0
Dolis,16.0,3.0,0.0,0.0
Domas,7.0,0.0,0.0,0.0
Dome,5.0,0.0,0.0,0.0
Don Ponk,0.0,0.0,0.0,0.0
DonJake,0.0,0.0,0.0,0.0
Doni,7.0,1.0,0.0,0.0
Dooly,2.0,0.0,0.0,0.0
Doran,33.0,7.0,0.0,0.0
Dorian,0.0,0.0,0.0,0.0
Doss,1.0,0.0,0.0,0.0
Dotmm,22.0,2.0,1.0,0.0
DoubleAces,3.0,1.0,0.0,0.0
DoubleAiM,17.0,2.0,0.0,0.0
DoubleB,5.0,0.0,0.0,0.0
Doublelift,23.0,7.0,2.0,0.0
Doxy,4.0,1.0,0.0,0.0
DrCalculus,3.0,0.0,0.0,0.0
DrSaw,0.0,0.0,0.0,0.0
Dragneel,0.0,0.0,0.0,0.0
Dragonblood,18.0,3.0,0.0,0.0
Dragoon,5.0,0.0,0.0,0.0
Drakehero,9.0,2.0,0.0,0.0
Draktharr,21.0,5.0,1.0,0.0
Drannarith,0.0,0.0,0.0,0.0
Draxo5,1.0,0.0,0.0,0.0
Dream,10.0,1.0,0.0,0.0
Dreilix,3.0,1.0,0.0,0.0
Driver,10.0,0.0,0.0,0.0
Dro,3.0,0.0,0.0,0.0
Droekt,0.0,0.0,0.0,0.0
Drofan,24.0,9.0,1.0,0.0
Druk,1.0,0.0,0.0,0.0
Druust,10.0,2.0,0.0,0.0
Druxy,18.0,3.0,0.0,0.0
DuDu,17.0,3.0,0.0,0.0
Ducks,1.0,0.0,0.0,0.0
Duduhh,4.0,2.0,1.0,0.0
Dumbao,0.0,0.0,0.0,0.0
Duro,2.0,0.0,0.0,0.0
Dya,18.0,3.0,0.0,0.0
Dyego,2.0,2.0,0.0,0.0
Dyenn,20.0,6.0,0.0,0.0
Dzeffry,26.0,5.0,0.0,0.0
ECOGentlemanHer,0.0,0.0,0.0,0.0
ECSTASSY,3.0,1.0,1.0,0.0
EDGY Palkia,0.0,0.0,0.0,0.0
EDGY linn,2.0,0.0,0.0,0.0
EDGY mikasa,1.0,0.0,0.0,0.0
EDGY qiuyu ,0.0,0.0,0.0,0.0
EE miflond,1.0,1.0,0.0,0.0
EG Digit,3.0,0.0,0.0,0.0
EG Raiderr,0.0,0.0,0.0,0.0
EG Ratel,3.0,0.0,0.0,0.0
EG Yuta,4.0,0.0,0.0,0.0
EG ZeeTee,0.0,0.0,0.0,0.0
EKO DVN,1.0,0.0,0.0,0.0
EKO K1NG1,0.0,0.0,0.0,0.0
EL,21.0,6.0,0.0,0.0
EN,0.0,0.0,0.0,0.0
ESBA DON ADY,2.0,0.0,0.0,0.0
ESCIK,19.0,5.0,1.0,0.0
EUNE,0.0,0.0,0.0,0.0
EVO Dayllen,0.0,0.0,0.0,0.0
EVO Fat Yoda,0.0,0.0,0.0,0.0
EVO Geraldes,0.0,0.0,0.0,0.0
EVO Ghost3,1.0,0.0,0.0,0.0
