playername,cs_total,cspm,minionkills,monsterkills,games_played
BE5 Straka,691.0,0.13431607690564748,683.0,8,3
BE5 bakisa,715.0,0.1399491235790741,698.0,17,3
BEAN,24329.0,0.15735887426669168,22870.0,1459,85
BER Berimbau,284.0,0.08765828781937064,284.0,0,2
BER Besnaga,109.0,0.09284497444633731,109.0,0,1
BER Cerelac,229.0,0.0789737023381827,19.0,210,2
BER Lunatik,135.0,0.054205650583116834,135.0,0,2
BER Outskale,169.0,0.09947027663331372,165.0,4,1
BFX Bangin,326.0,0.10159357561538446,326.0,0,2
BFX Lost,426.0,0.13252200243861564,418.0,8,2
BFX Rang,277.0,0.08602130032534137,42.0,235,2
BFX Should,72.0,0.022438345979077217,72.0,0,2
BKD Eria,2268.0,0.11921107842303769,2244.0,24,10
BKD Meii,1728.0,0.08831832774637295,197.0,1531,10
BKD anakin,224.0,0.011453377056032719,224.0,0,10
BKD razu,237.0,0.10911602209944751,229.0,8,1
BKD yokiha,2069.0,0.10811281208510601,2042.0,27,10
BL Frechdachs,44.0,0.013296336181427119,44.0,0,2
BL Niko Reaper,399.0,0.12035670601999574,390.0,9,2
BL Vinni Wonka,365.0,0.11048901386229881,365.0,0,2
BLS 1KK1,1653.0,0.09773034760245648,168.0,1485,10
BLS Fantasyleaf,2123.0,0.12423120242725208,2076.0,47,10
BLS TaiTa,2299.0,0.13625909986213242,2291.0,8,10
BLS shironeco,1907.0,0.11170594384787569,1895.0,12,10
BOO Blender,3429.0,0.10259435997058013,357.0,3072,19
BOO Eve,416.0,0.10179128318690162,412.0,4,2
BOO FuraFura,3884.0,0.11584641857831894,3835.0,49,19
BOO Razer,3789.0,0.1339996313345593,3758.0,31,16
BOO Snow Panda,645.0,0.019384355196331835,637.0,8,19
BOO rururu,2027.0,0.12025030982470157,2000.0,27,10
BRT Speedy2,95.0,0.016404761859279908,95.0,0,4
BVL Fake1,526.0,0.017080792800564952,524.0,2,17
BVL Fantasyleaf,2305.0,0.1123397435268164,2251.0,54,11
BVL Fubuki,7723.0,0.104029526443235,1154.0,6569,41
BVL GOODTRY,369.0,0.01809612213206642,365.0,4,11
BVL MayR,10315.0,0.1396645414305563,10104.0,211,41
BVL Snow Panda,416.0,0.018718053360111606,416.0,0,13
BVL udon,6443.0,0.12107828937309269,6313.0,130,30
BVL uwaa,2677.0,0.1281522459556638,2593.0,84,11
BVL uwaaaa,6479.0,0.12294848608425374,6428.0,51,30
Baashh,6898.0,0.09886823979088935,617.0,6281,36
Babuleh,2582.0,0.10725949477092889,2531.0,51,13
Baca,7803.0,0.1382512744357764,7670.0,133,29
Backlund,10547.0,0.13638422716096543,10222.0,325,39
Bada,12724.0,0.14306431258875313,12340.0,384,49
Badlulu,16830.0,0.13499331613829235,16253.0,577,64
Baiye,6691.0,0.1521182774387032,6476.0,215,23
Baki,3191.0,0.1366513712055804,3149.0,42,12
Bala,2892.0,0.12519943955872745,2834.0,58,12
Balyy,3294.0,0.11581599009960251,371.0,2923,15
Bambi,2350.0,0.1236834554509179,2332.0,18,10
Bananiasty,329.0,0.08522067324442253,17.0,312,2
Bananitoo,1207.0,0.021609498371249744,1184.0,23,29
Banderas,3435.0,0.12630325755578964,3353.0,82,14
Bandit,3218.0,0.10297572942517354,368.0,2850,17
Bangin,2869.0,0.11275749653809301,2851.0,18,14
Banino,472.0,0.017746128290432758,472.0,0,14
Bardito,560.0,0.016342862705068798,554.0,6,17
Barrage,5356.0,0.12340685110415375,5179.0,177,21
Barry,341.0,0.016597593007698704,337.0,4,11
BartonaR,5584.0,0.10348978237936125,3386.0,2198,29
Basei,514.0,0.13437002201726883,514.0,0,2
Basraket,9694.0,0.1479681587918302,9260.0,434,34
Batuuu,2308.0,0.01801884540738216,2290.0,18,68
Baul,2596.0,0.057071299955023025,765.0,1831,24
Baula,295.0,0.0193797193967393,292.0,3,8
Baumeef,10812.0,0.10237517961628687,1235.0,9577,57
Baus,22524.0,0.14608920012483784,22252.0,272,82
Baut,823.0,0.018567840908008157,817.0,6,22
Bayonetta,518.0,0.15503270201202124,486.0,32,2
Bazz,8053.0,0.15367640289072748,7749.0,304,26
Bcan,11190.0,0.13134062952330805,10909.0,281,46
Bdd,25534.0,0.1482606525046272,24858.0,676,90
Be,1616.0,0.11301819027811813,1596.0,20,8
Beenie,7141.0,0.14410824958358837,6840.0,301,25
Beichuan,24197.0,0.11295857220121554,1897.0,22300,114
Bejjaniii,368.0,0.10516903733209965,368.0,0,2
Beluga,2044.0,0.13705893276691428,1970.0,74,7
Benaset,441.0,0.017632640294580077,439.0,2,14
Benda,1535.0,0.13853256339003175,1509.0,26,6
Benny,1391.0,0.11716639398898074,146.0,1245,7
Berik,939.0,0.12136493905608678,911.0,28,4
Berr,2293.0,0.01866379778025669,2283.0,10,62
Berserker,24385.0,0.15841193247421673,23556.0,829,78
BeryL,3753.0,0.020655630507115053,3700.0,53,94
BetaTwinz,111.0,0.01882929143903546,111.0,0,3
Betty,21790.0,0.1572938619447461,20812.0,978,71
Beyond,2355.0,0.09485447681314652,2352.0,3,15
Bf,445.0,0.01543911034461195,443.0,2,14
BiIIy,2851.0,0.09683142331264849,371.0,2480,16
Bible,231.0,0.01866047499623381,229.0,2,6
Bie,1731.0,0.02039989265001275,1704.0,27,43
Bin,37252.0,0.1360253875554227,35783.0,1469,141
Bio,5449.0,0.0941411221591937,496.0,4953,32
BioPanther,9044.0,0.12973237174505306,9003.0,41,38
Biob,198.0,0.017622045887727412,197.0,1,6
