playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
HOF Zezin,0.75,0.9574271077563382,4.25,2.0615528128088303,16329.75,7742.395424974538
HOF vicarious,1.0,1.4142135623730951,5.5,0.7071067811865476,10824.0,5925.554826343268
HONOR,0.4358974358974359,0.6405126152203485,3.769230769230769,1.8843055186060973,7655.48717948718,3834.9691474213205
HOYA,2.276595744680851,2.0235402561238405,3.127659574468085,1.9687561847832749,16904.40425531915,6113.05072690053
HPS EN,2.5,3.5355339059327378,8.5,0.7071067811865476,6620.5,208.59650045003153
HST David Do,4.0,4.242640687119285,2.5,2.1213203435596424,19829.5,12804.996700507189
HST DinhViet,3.75,3.095695936834452,4.75,0.9574271077563382,18311.0,9870.443860333738
HST Terry,4.5,0.7071067811865476,3.5,2.1213203435596424,19429.5,703.5712472806148
HST Wady,4.0,2.160246899469287,3.5,1.0,15976.0,6527.1706478892265
Hades2,2.3076923076923075,1.7504578155735613,5.076923076923077,2.177978361598146,12077.538461538461,6259.043918142033
Haetae,2.8878504672897196,2.151467699141192,2.682242990654206,1.9647753284642793,20468.6261682243,7356.376465895966
Hailstone,1.25,1.7502514909835503,4.625,2.519990498528924,6929.458333333333,3185.6762650723113
Hakari,2.933333333333333,2.086236073022646,3.4,2.2614786566062732,19389.266666666666,7901.366323677973
HamBak,2.3404255319148937,1.9479821861595188,3.74468085106383,1.9942099351610183,14465.68085106383,8375.829207766166
Hamsi,1.5,1.90029237516523,3.6,1.7126976771553504,17767.8,8527.873446006988
Hamudis,3.3333333333333335,2.345207879911715,5.666666666666667,2.23606797749979,13922.666666666666,11161.399699410464
Hanbyeol,2.4526315789473685,2.0461090269230504,3.231578947368421,2.0024061673712796,20002.43157894737,8254.7892760875
Hang,0.8275862068965517,1.0619071065607892,3.5517241379310347,2.287819875386643,5795.6551724137935,2351.9111717302626
Hans SamD,6.035087719298246,3.9049643874391378,2.0526315789473686,1.5285503476868316,28825.21052631579,12662.445165213157
Hans Sama,4.069767441860465,3.008969718825673,1.872093023255814,1.5246717033543897,22681.68604651163,9700.790162191008
Haoswen,0.3333333333333333,0.816496580927726,5.0,3.03315017762062,6670.333333333333,1781.432083091204
Harbo,4.666666666666667,3.1261361570998907,3.4444444444444446,2.0511145036469096,24456.844444444443,8617.960492102196
Harky,5.552631578947368,4.011452311118908,3.1052631578947367,2.239564070566757,25636.28947368421,7643.2601538090485
Harp,0.85,1.2719861311935432,3.525,1.395735262532592,6371.325,2923.781406360518
Hasu7,4.969230769230769,2.8116344822075403,4.3538461538461535,2.426615243185771,22593.153846153848,8426.271464204174
Hatsu,2.888888888888889,2.8261814498190994,3.5833333333333335,1.9030051422496397,19995.694444444445,9484.709414388866
Hattor1s,5.071428571428571,3.3157963590222925,4.142857142857143,2.7971728270122718,23974.071428571428,6021.507650009329
Hauz,4.027777777777778,2.9615257757843207,2.5277777777777777,2.1177631205875307,24084.13888888889,7864.758131428645
Hax,7.0,3.24037034920393,4.6,2.701851217221259,22282.4,8820.339806379343
Hazel,4.583333333333333,3.5405810661124937,2.611111111111111,1.6949973076721607,24108.083333333332,11300.352976471891
HeSSZero,3.581818181818182,2.484700660791431,3.109090909090909,1.7708830949633398,21467.272727272728,8792.69245296289
Heart,2.5,0.7071067811865476,5.0,0.0,10004.0,1989.7984822589447
Hena,3.4482758620689653,2.4140393963016744,2.1379310344827585,1.5748954144648664,23229.758620689656,8479.523456350482
Heng,2.230769230769231,1.8827148973265668,3.3461538461538463,2.0580050085907504,13784.038461538461,6553.979990697374
Henli,4.25,3.7321001364608946,2.875,2.2320714274285347,19950.75,10155.636826764872
Heprex,0.6,0.8944271909999159,2.0,1.224744871391589,7971.6,3312.0925862662716
Herma,5.2631578947368425,3.1128483036286085,3.3289473684210527,2.087347010887181,24503.697368421053,9719.734294063446
Heroic,6.066666666666666,3.601767242997147,3.688888888888889,2.0318176168846525,26476.066666666666,8581.897680053586
Heru,3.7142857142857144,3.039423504234847,4.0,2.516611478423583,23664.0,7819.917220363227
Hery,1.875,1.80947327926861,3.125,1.6607421582319852,16458.59375,6255.989026573245
Hetel,0.6792452830188679,0.7788943076729983,3.490566037735849,2.3338861740538612,5427.830188679245,1778.9864955583025
Hhiep,2.6666666666666665,2.516611478423583,3.6666666666666665,0.5773502691896258,14871.0,4737.154947856361
HiRit,3.3947368421052633,2.2605843980635045,3.1842105263157894,1.8867283732643647,23558.394736842107,8387.826863295415
Hid0,4.916666666666667,2.3143164446679725,1.5,1.5666989036012806,21598.833333333332,5792.201290345391
Hidan,2.35,2.9784312366712355,3.3,1.5593520921743174,16522.7,6130.379829393249
Highway,0.7272727272727273,0.8986717941815607,4.0227272727272725,2.0401622867919604,6351.977272727273,2669.8330884910556
Hika,2.909090909090909,1.7002673586554236,2.4545454545454546,1.4396969378057567,19830.636363636364,6398.610400277973
Hildebrandt,2.0,,9.0,,25044.0,
Himmel,4.4,2.3664319132398464,3.2,1.9888578520235063,21749.0,4288.323500442153
